Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
0.865479,0.020291,69.00,6.882,14,0.00,0,100.0,2.4
0.909180,0.021650,67.00,6.022,13,0.00,0,100.0,2.5
0.980530,0.023381,67.00,6.882,12,0.00,0,100.0,2.5
1.098511,0.025408,67.00,6.845,11,0.00,0,100.0,2.5
1.135071,0.027874,67.00,6.845,10,0.00,0,100.0,2.5
1.255188,0.030848,66.00,6.845,9,0.00,0,100.0,2.5
1.763245,0.034997,66.00,6.022,8,0.00,0,100.0,2.5
1.714172,0.039514,66.00,6.845,7,0.00,0,100.0,2.5
1.697327,0.045917,65.00,6.845,6,0.00,0,100.0,2.5
2.086487,0.054982,66.00,6.845,5,0.00,0,100.0,2.5
2.529968,0.068745,65.00,6.845,4,0.00,0,100.0,2.5
3.309814,0.091425,65.00,6.845,3,0.00,0,100.0,2.5
4.602234,0.136926,65.00,6.845,2,0.00,0,100.0,2.5
8.673767,0.273862,66.00,6.845,1,0.00,0,100.0,2.5
0.867371,0.020231,66.00,6.845,14,0.00,0,100.0,2.5
0.955933,0.021691,66.00,6.845,13,0.00,0,100.0,2.5
0.975464,0.023375,65.00,6.845,12,0.00,0,100.0,2.5
1.045898,0.025380,65.00,6.845,11,0.00,0,100.0,2.5
1.137024,0.027885,65.00,6.845,10,0.00,0,100.0,2.5
1.268005,0.030830,65.00,6.845,9,0.00,0,100.0,2.5
1.330994,0.034568,65.00,6.845,8,0.00,0,100.0,2.5
1.513672,0.039426,65.00,6.845,7,0.00,0,100.0,2.5
1.681091,0.045937,64.00,6.845,6,0.00,0,100.0,2.5
2.008301,0.054990,65.00,6.845,5,0.00,0,100.0,2.5
2.403564,0.068756,64.00,6.845,4,0.00,0,100.0,2.5
3.103516,0.091514,65.00,6.845,3,0.00,0,100.0,2.5
4.400879,0.137065,64.00,6.845,2,0.00,0,100.0,2.5
8.734863,0.273780,65.00,6.845,1,0.00,0,100.0,2.5
0.868713,0.020177,66.00,6.845,14,0.00,0,100.0,2.5
0.938904,0.021664,65.00,6.845,13,0.00,0,100.0,2.5
0.952759,0.023366,65.00,6.845,12,0.00,0,100.0,2.5
1.037354,0.025389,65.00,6.845,11,0.00,0,100.0,2.5
1.071106,0.027841,65.00,6.845,10,0.00,0,100.0,2.5
1.172119,0.030843,65.00,6.845,9,0.00,0,100.0,2.5
1.270813,0.034581,64.00,6.845,8,0.00,0,100.0,2.5
1.458313,0.039407,64.00,6.845,7,0.00,0,100.0,2.5
1.619812,0.045912,64.00,6.845,6,0.00,0,100.0,2.5
1.929260,0.054942,64.00,5.984,5,0.00,0,100.0,2.5
2.294922,0.068660,64.00,6.845,4,0.00,0,100.0,2.5
3.092896,0.091442,64.00,6.845,3,0.00,0,100.0,2.5
4.396057,0.137141,64.00,6.845,2,0.00,0,100.0,2.5
8.735779,0.273778,65.00,6.845,1,0.00,0,100.0,2.5
0.868286,0.020243,65.00,6.845,14,0.00,0,100.0,2.5
0.946960,0.021614,65.00,6.845,13,0.00,0,100.0,2.5
0.965515,0.023346,64.00,6.845,12,0.00,0,100.0,2.5
1.030640,0.025332,64.00,6.845,11,0.00,0,100.0,2.5
1.125732,0.027835,64.00,6.845,10,0.00,0,100.0,2.5
1.216248,0.030837,64.00,6.845,9,0.00,0,100.0,2.5
1.277893,0.034572,64.00,6.845,8,0.00,0,100.0,2.5
1.454529,0.039392,64.00,6.845,7,0.00,0,100.0,2.5
