Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
0.835754,0.025130,41.00,8.067,10,0.00,0,100.0,2.3
0.911133,0.027551,39.00,7.746,9,0.00,0,100.0,2.4
0.956360,0.030152,38.00,7.746,8,0.00,0,100.0,2.4
1.054871,0.033868,38.00,7.746,7,0.00,0,100.0,2.4
1.151978,0.038221,38.00,7.746,6,0.00,0,100.0,2.4
1.355774,0.045563,37.00,7.746,5,0.00,0,100.0,2.4
1.429443,0.053548,37.00,7.746,4,0.00,0,100.0,2.4
1.902710,0.071011,36.00,7.746,3,0.00,0,100.0,2.4
2.661133,0.105414,37.00,7.746,2,0.00,0,100.0,2.4
4.929810,0.208307,37.00,7.746,1,0.00,0,100.0,2.4
0.843872,0.025082,38.00,7.746,10,0.00,0,100.0,2.4
0.941406,0.028627,37.00,7.354,9,0.00,0,100.0,2.4
0.962219,0.031015,38.00,7.746,8,0.00,0,100.0,2.4
1.087769,0.033966,37.00,7.746,7,0.00,0,100.0,2.4
1.152466,0.038191,36.00,7.746,6,0.00,0,100.0,2.4
1.358887,0.045894,37.00,7.639,5,0.00,0,100.0,2.4
1.421387,0.053445,36.00,7.746,4,0.00,0,100.0,2.4
1.899658,0.070671,36.00,7.746,3,0.00,0,100.0,2.4
2.625610,0.105335,36.00,7.746,2,0.00,0,100.0,2.4
4.943176,0.208615,37.00,7.639,1,0.00,0,100.0,2.4
0.838806,0.024968,37.00,7.746,10,0.00,0,100.0,2.4
0.938232,0.027995,37.00,7.746,9,0.00,0,100.0,2.4
0.959900,0.029971,37.00,7.746,8,0.00,0,100.0,2.4
1.087646,0.033889,37.00,7.746,7,0.00,0,100.0,2.4
1.156250,0.038258,37.00,7.746,6,0.00,0,100.0,2.4
1.359314,0.045728,36.00,7.746,5,0.00,0,100.0,2.4
1.445435,0.053083,36.00,7.746,4,0.00,0,100.0,2.4
1.901428,0.070796,36.00,7.746,3,0.00,0,100.0,2.4
2.653076,0.105424,36.00,7.746,2,0.00,0,100.0,2.4
4.953491,0.208396,37.00,7.746,1,0.00,0,100.0,2.4
0.840393,0.024869,38.00,7.746,10,0.00,0,100.0,2.4
0.907715,0.027743,37.00,7.746,9,0.00,0,100.0,2.4
0.962646,0.030048,37.00,7.746,8,0.00,0,100.0,2.4
1.084167,0.034110,37.00,6.678,7,0.00,0,100.0,2.4
1.151489,0.038472,37.00,7.746,6,0.00,0,100.0,2.4
1.354797,0.045820,36.00,7.746,5,0.00,0,100.0,2.4
1.452148,0.053457,36.00,7.746,4,0.00,0,100.0,2.4
1.928223,0.071159,36.00,7.746,3,0.00,0,100.0,2.4
2.662354,0.105617,36.00,7.746,2,0.00,0,100.0,2.4
4.965576,0.208826,37.00,7.746,1,0.00,0,100.0,2.4
0.836304,0.025092,37.00,7.639,10,0.00,0,100.0,2.4
0.938416,0.027736,37.00,7.746,9,0.00,0,100.0,2.4
0.929016,0.029936,37.00,7.746,8,0.00,0,100.0,2.4
1.056519,0.034210,37.00,7.746,7,0.00,0,100.0,2.4
1.122681,0.038101,36.00,7.746,6,0.00,0,100.0,2.4
1.386475,0.045877,36.00,7.746,5,0.00,0,100.0,2.4
1.421814,0.053390,36.00,7.746,4,0.00,0,100.0,2.4
1.925354,0.071533,36.00,7.354,3,0.00,0,100.0,2.4
2.632996,0.105437,36.00,7.639,2,0.00,0,100.0,2.4
4.942749,0.208123,37.00,7.746,1,0.00,0,100.0,2.4
0.840210,0.025023,37.00,7.746,10,0.00,0,100.0,2.4
0.938232,0.027667,37.00,7.746,9,0.00,0,100.0,2.4
0.930664,0.029925,37.00,7.746,8,0.00,0,100.0,2.4
1.088074,0.034445,37.00,7.746,7,0.00,0,100.0,2.4
1.155334,0.038497,36.00,6.037,6,0.00,0,100.0,2.4
1.388794,0.046145,36.00,7.746,5,0.00,0,100.0,2.4
1.421082,0.053192,36.00,7.746,4,0.00,0,100.0,2.4
1.904236,0.070992,36.00,7.746,3,0.00,0,100.0,2.4
2.632996,0.105137,35.00,7.746,2,0.00,0,100.0,2.4
4.944336,0.208530,37.00,7.639,1,0.00,0,100.0,2.4
0.811829,0.024939,37.00,7.746,10,0.00,0,100.0,2.4
