Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
0.691406,0.028780,54.00,8.658,8,0.00,0,100.0,2.3
0.834106,0.034832,52.00,8.120,7,0.00,0,100.0,2.5
0.917725,0.040690,52.00,7.940,6,0.00,0,100.0,2.5
1.028442,0.045940,52.00,7.940,5,0.00,0,100.0,2.5
1.161011,0.056103,51.00,7.940,4,0.00,0,100.0,2.5
1.575317,0.074750,51.00,7.940,3,0.00,0,100.0,2.5
1.944641,0.106500,50.00,7.940,2,0.00,0,100.0,2.5
3.234070,0.202502,50.00,7.940,1,0.00,0,100.0,2.5
0.722473,0.029195,50.00,7.940,8,0.00,0,100.0,2.5
0.817566,0.033111,50.00,6.179,7,0.00,0,100.0,2.5
0.844910,0.037416,51.00,7.940,6,0.00,0,100.0,2.5
1.010864,0.044794,50.00,7.940,5,0.00,0,100.0,2.5
1.067383,0.051746,50.00,6.179,4,0.00,0,100.0,2.5
1.397522,0.068686,50.00,6.179,3,0.00,0,100.0,2.5
1.735107,0.101943,50.00,7.940,2,0.00,0,100.0,2.5
3.101685,0.201158,49.00,8.120,1,0.00,0,100.0,2.5
0.714783,0.028890,50.00,8.120,8,0.00,0,100.0,2.5
0.822693,0.033528,51.00,6.179,7,0.00,0,100.0,2.5
0.824951,0.036988,50.00,6.179,6,0.00,0,100.0,2.5
0.999329,0.044494,50.00,8.120,5,0.00,0,100.0,2.5
1.082703,0.051981,50.00,7.940,4,0.00,0,100.0,2.5
1.416016,0.068836,50.00,8.120,3,0.00,0,100.0,2.5
1.708557,0.101608,49.00,6.179,2,0.00,0,100.0,2.5
3.183777,0.201835,49.00,8.120,1,0.00,0,100.0,2.5
0.696899,0.029009,49.00,8.120,8,0.00,0,100.0,2.5
0.823730,0.033126,50.00,8.120,7,0.00,0,100.0,2.5
0.857178,0.037296,50.00,8.120,6,0.00,0,100.0,2.5
0.992371,0.044418,50.00,8.120,5,0.00,0,100.0,2.5
1.080566,0.051805,50.00,8.120,4,0.00,0,100.0,2.5
1.408325,0.068898,50.00,6.179,3,0.00,0,100.0,2.5
1.758362,0.102486,49.00,7.940,2,0.00,0,100.0,2.5
3.177856,0.201667,50.00,8.120,1,0.00,0,100.0,2.5
0.693909,0.029020,49.00,8.120,8,0.00,0,100.0,2.5
0.815796,0.032983,50.00,6.179,7,0.00,0,100.0,2.5
0.848816,0.037356,50.00,7.940,6,0.00,0,100.0,2.5
0.986328,0.044271,50.00,6.179,5,0.00,0,100.0,2.5
1.129089,0.054408,50.00,7.940,4,0.00,0,100.0,2.5
1.435364,0.069919,50.00,7.760,3,0.00,0,100.0,2.5
1.749084,0.102368,50.00,7.940,2,0.00,0,100.0,2.5
3.190674,0.201719,50.00,8.120,1,0.00,0,100.0,2.5
0.706116,0.029011,49.00,8.120,8,0.00,0,100.0,2.5
0.811218,0.033184,50.00,8.120,7,0.00,0,100.0,2.5
0.868713,0.037164,50.00,6.179,6,0.00,0,100.0,2.5
1.012878,0.044523,50.00,8.120,5,0.00,0,100.0,2.5
1.066406,0.051474,50.00,8.120,4,0.00,0,100.0,2.5
1.415039,0.068442,49.00,6.179,3,0.00,0,100.0,2.5
1.690918,0.101461,50.00,7.940,2,0.00,0,100.0,2.5
3.142700,0.201186,49.00,8.120,1,0.00,0,100.0,2.5
0.695923,0.028821,49.00,8.120,8,0.00,0,100.0,2.5
0.818115,0.032867,50.00,8.120,7,0.00,0,100.0,2.5
0.885620,0.037681,50.00,8.120,6,0.00,0,100.0,2.5
0.993774,0.044382,50.00,8.120,5,0.00,0,100.0,2.5
1.064087,0.051451,50.00,8.120,4,0.00,0,100.0,2.5
1.382446,0.068198,50.00,8.120,3,0.00,0,100.0,2.5
1.704041,0.101110,49.00,6.179,2,0.00,0,100.0,2.5
3.171265,0.201363,49.00,8.120,1,0.00,0,100.0,2.5
0.699158,0.028756,49.00,8.120,8,0.00,0,100.0,2.5
0.791565,0.032899,50.00,8.120,7,0.00,0,100.0,2.5
0.806213,0.036823,50.00,6.179,6,0.00,0,100.0,2.5
0.957275,0.044076,50.00,8.120,5,0.00,0,100.0,2.5
1.042542,0.051573,50.00,6.179,4,0.00,0,100.0,2.5
1.406433,0.068362,50.00,8.120,3,0.00,0,100.0,2.5
1.745361,0.102177,49.00,8.120,2,0.00,0,100.0,2.5
3.173889,0.201714,49.00,8.120,1,0.00,0,100.0,2.5
0.693237,0.028766,49.00,7.940,8,0.00,0,100.0,2.5
0.817810,0.033181,50.00,7.760,7,0.00,0,100.0,2.5
0.828735,0.036879,50.00,8.120,6,0.00,0,100.0,2.5
0.978699,0.043970,50.00,8.120,5,0.00,0,100.0,2.5
1.106323,0.053613,50.00,7.940,4,0.00,0,100.0,2.5
1.387085,0.068578,50.00,7.940,3,0.00,0,100.0,2.5
1.722839,0.101852,49.00,8.120,2,0.00,0,100.0,2.5
3.093933,0.200750,50.00,8.120,1,0.00,0,100.0,2.5
0.722473,0.029822,49.00,8.120,8,0.00,0,100.0,2.5
0.812378,0.033066,50.00,6.179,7,0.00,0,100.0,2.5
0.806213,0.036921,50.00,6.179,6,0.00,0,100.0,2.5
0.957886,0.044016,50.00,8.120,5,0.00,0,100.0,2.5
1.066833,0.051489,50.00,8.120,4,0.00,0,100.0,2.5
1.412292,0.068540,50.00,8.120,3,0.00,0,100.0,2.5
1.738831,0.101949,49.00,8.120,2,0.00,0,100.0,2.5
3.203369,0.201948,49.00,8.120,1,0.00,0,100.0,2.5
0.718689,0.028835,49.00,8.120,8,0.00,0,100.0,2.5
0.817749,0.032999,50.00,8.120,7,0.00,0,100.0,2.5
0.831726,0.037046,50.00,8.120,6,0.00,0,100.0,2.5
0.976013,0.044087,50.00,8.120,5,0.00,0,100.0,2.5
1.086304,0.053318,50.00,7.940,4,0.00,0,100.0,2.5
1.388855,0.068464,50.00,6.179,3,0.00,0,100.0,2.5
1.757446,0.102074,49.00,8.120,2,0.00,0,100.0,2.5
3.169250,0.201595,49.00,6.179,1,0.00,0,100.0,2.5
0.714600,0.028948,49.00,8.120,8,0.00,0,100.0,2.5
0.817444,0.032951,50.00,8.120,7,0.00,0,100.0,2.5
0.815308,0.036798,50.00,8.120,6,0.00,0,100.0,2.5
0.958984,0.044171,50.00,8.120,5,0.00,0,100.0,2.5
1.058899,0.051972,50.00,6.179,4,0.00,0,100.0,2.5
1.411743,0.068621,50.00,8.120,3,0.00,0,100.0,2.5
1.700195,0.101138,49.00,8.120,2,0.00,0,100.0,2.5
3.091736,0.200797,48.00,8.120,1,0.00,0,100.0,2.5
0.694885,0.028732,49.00,6.179,8,0.00,0,100.0,2.5
0.817383,0.033266,50.00,8.120,7,0.00,0,100.0,2.5
0.838623,0.037219,50.00,6.179,6,0.00,0,100.0,2.5
0.973633,0.044236,50.00,6.179,5,0.00,0,100.0,2.5
1.103943,0.053247,49.00,8.120,4,0.00,0,100.0,2.5
1.407776,0.068505,49.00,8.120,3,0.00,0,100.0,2.5
1.729614,0.102043,49.00,6.143,2,0.00,0,100.0,2.5
3.179382,0.201815,49.00,8.120,1,0.00,0,100.0,2.5
0.692078,0.028773,49.00,6.179,8,0.00,0,100.0,2.5
