Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.418945,0.020769,68.00,6.305,18,0.00,0,100.0,0.9
1.403931,0.022005,67.00,6.301,17,0.00,0,100.0,2.4
1.482300,0.023389,66.00,6.296,16,0.00,0,100.0,2.4
1.461426,0.024833,66.00,6.296,15,0.00,0,100.0,2.4
1.585999,0.026483,66.00,6.296,14,0.00,0,100.0,2.4
1.602783,0.028611,66.00,5.540,13,0.00,0,100.0,2.4
1.747131,0.030779,66.00,6.296,12,0.00,0,100.0,2.4
1.816223,0.033517,66.00,6.296,11,0.00,0,100.0,2.4
1.941772,0.036794,66.00,6.296,10,0.00,0,100.0,2.4
2.082275,0.040952,66.00,5.540,9,0.00,0,100.0,2.4
2.267578,0.045833,65.00,6.296,8,0.00,0,100.0,2.4
2.462280,0.052307,65.00,6.296,7,0.00,0,100.0,2.4
2.765381,0.060953,66.00,6.296,6,0.00,0,100.0,2.4
3.183289,0.073111,65.00,6.292,5,0.00,0,100.0,2.4
3.795898,0.091279,65.00,6.296,4,0.00,0,100.0,2.4
4.854675,0.121732,65.00,6.296,3,0.00,0,100.0,2.4
6.913696,0.182444,65.00,6.292,2,0.00,0,100.0,2.4
13.109558,0.365034,65.00,6.292,1,0.00,0,100.0,2.4
1.331787,0.020828,65.00,6.296,18,0.00,0,100.0,2.4
1.387085,0.021948,65.00,6.292,17,0.00,0,100.0,2.4
1.430115,0.023294,65.00,6.292,16,0.00,0,100.0,2.4
1.513306,0.024831,65.00,6.292,15,0.00,0,100.0,2.4
1.544067,0.026509,65.00,6.292,14,0.00,0,100.0,2.4
1.670105,0.028757,65.00,5.533,13,0.00,0,100.0,2.4
1.708740,0.030791,65.00,6.292,12,0.00,0,100.0,2.4
1.781006,0.033519,66.00,5.533,11,0.00,0,100.0,2.4
1.932129,0.036794,65.00,6.292,10,0.00,0,100.0,2.4
2.090759,0.040801,65.00,5.533,9,0.00,0,100.0,2.4
2.208313,0.045825,65.00,6.292,8,0.00,0,100.0,2.4
2.442383,0.052557,65.00,5.533,7,0.00,0,100.0,2.4
2.800171,0.060967,65.00,6.292,6,0.00,0,100.0,2.4
3.172974,0.073094,64.00,6.292,5,0.00,0,100.0,2.4
3.815491,0.091545,64.00,5.533,4,0.00,0,100.0,2.4
4.878235,0.121740,64.00,6.292,3,0.00,0,100.0,2.4
7.009216,0.182533,65.00,6.292,2,0.00,0,100.0,2.4
13.151184,0.365001,65.00,6.292,1,0.00,0,100.0,2.4
1.343079,0.020817,64.00,6.292,18,0.00,0,100.0,2.4
1.389587,0.021982,65.00,6.287,17,0.00,0,100.0,2.4
1.433838,0.023304,65.00,6.292,16,0.00,0,100.0,2.4
1.525269,0.024827,64.00,6.292,15,0.00,0,100.0,2.4
1.554688,0.026465,65.00,6.292,14,0.00,0,100.0,2.4
1.625183,0.028482,64.00,6.292,13,0.00,0,100.0,2.4
1.739014,0.030786,65.00,6.292,12,0.00,0,100.0,2.4
1.813477,0.033504,64.00,6.292,11,0.00,0,100.0,2.4
