Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.179321,0.015597,71.00,5.568,18,0.00,0,100.0,2.3
1.089966,0.016152,68.00,6.933,17,0.00,0,100.0,2.5
1.173279,0.017366,67.00,5.547,16,0.00,0,100.0,2.5
1.181885,0.018362,67.00,6.929,15,0.00,0,100.0,2.5
1.298157,0.019581,67.00,8.413,14,0.00,0,100.0,2.5
1.350830,0.021039,68.00,5.554,13,0.00,0,100.0,2.5
1.446289,0.022825,66.00,6.929,12,0.00,0,100.0,2.5
1.563416,0.024816,65.00,5.547,11,0.00,0,100.0,2.5
1.729126,0.027097,65.00,6.926,10,0.00,0,100.0,2.5
1.902710,0.030147,65.00,6.926,9,0.00,0,100.0,2.5
1.990723,0.033257,66.00,6.929,8,0.00,0,100.0,2.5
2.246460,0.034534,65.00,6.929,7,0.00,0,100.0,2.5
2.400574,0.039766,65.00,6.926,6,0.00,0,100.0,2.5
2.666626,0.047234,64.00,7.091,5,0.00,0,100.0,2.5
3.097351,0.057201,64.00,5.540,4,0.00,0,100.0,2.5
3.745544,0.073706,63.00,7.088,3,0.00,0,100.0,2.5
4.838989,0.105956,63.00,7.586,2,0.00,0,100.0,2.5
8.392273,0.207752,62.00,7.584,1,0.00,0,100.0,2.5
1.085083,0.015371,62.00,8.409,18,0.00,0,100.0,2.5
1.088867,0.016151,64.00,5.533,17,0.00,0,100.0,2.5
1.127136,0.017225,64.00,6.923,16,0.00,0,100.0,2.5
1.222351,0.018306,64.00,6.923,15,0.00,0,100.0,2.5
1.261108,0.019575,64.00,6.923,14,0.00,0,100.0,2.5
1.330872,0.021015,64.00,6.923,13,0.00,0,100.0,2.5
1.469299,0.022737,64.00,6.923,12,0.00,0,100.0,2.5
1.601196,0.024759,64.00,6.923,11,0.00,0,100.0,2.5
1.700623,0.027165,64.00,6.923,10,0.00,0,100.0,2.5
1.891602,0.030191,64.00,6.923,9,0.00,0,100.0,2.5
2.068848,0.033565,65.00,5.540,8,0.00,0,100.0,2.5
2.220642,0.034103,64.00,6.923,7,0.00,0,100.0,2.5
