Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.265503,0.042188,48.00,6.743,8,0.00,0,100.0,2.4
1.488220,0.048012,46.00,6.743,7,0.00,0,100.0,2.5
1.546387,0.055988,47.00,6.743,6,0.00,0,100.0,2.5
1.842957,0.066980,46.00,6.743,5,0.00,0,100.0,2.5
2.133606,0.083602,46.00,5.831,4,0.00,0,100.0,2.5
2.849670,0.111374,45.00,5.831,3,0.00,0,100.0,2.5
3.741455,0.167050,45.00,6.743,2,0.00,0,100.0,2.5
7.447388,0.333941,45.00,5.831,1,0.00,0,100.0,2.5
1.292236,0.042135,46.00,5.831,8,0.00,0,100.0,2.5
1.449768,0.048011,46.00,6.743,7,0.00,0,100.0,2.5
1.525513,0.055888,46.00,5.831,6,0.00,0,100.0,2.5
1.813660,0.067116,45.00,6.743,5,0.00,0,100.0,2.5
2.115967,0.083579,46.00,6.743,4,0.00,0,100.0,2.5
2.749023,0.111405,44.00,6.743,3,0.00,0,100.0,2.5
3.685974,0.167187,46.00,6.743,2,0.00,0,100.0,2.5
6.982300,0.333754,44.00,6.743,1,0.00,0,100.0,2.5
1.202332,0.042096,45.00,6.743,8,0.00,0,100.0,2.5
1.370789,0.047960,45.00,5.831,7,0.00,0,100.0,2.5
1.509521,0.055870,45.00,6.743,6,0.00,0,100.0,2.5
1.809692,0.066952,45.00,6.743,5,0.00,0,100.0,2.5
2.026123,0.083599,45.00,6.743,4,0.00,0,100.0,2.5
2.681030,0.111422,45.00,6.743,3,0.00,0,100.0,2.5
3.576965,0.166936,44.00,6.743,2,0.00,0,100.0,2.5
6.966309,0.333923,44.00,6.743,1,0.00,0,100.0,2.5
1.246643,0.042078,45.00,6.743,8,0.00,0,100.0,2.5
1.396057,0.048035,45.00,5.831,7,0.00,0,100.0,2.5
1.507080,0.056044,44.00,6.743,6,0.00,0,100.0,2.5
1.828491,0.067060,45.00,5.831,5,0.00,0,100.0,2.5
2.018494,0.083795,44.00,6.743,4,0.00,0,100.0,2.5
2.678345,0.111425,44.00,5.791,3,0.00,0,100.0,2.5
3.502136,0.167076,45.00,6.743,2,0.00,0,100.0,2.5
6.971375,0.333897,45.00,6.743,1,0.00,0,100.0,2.5
1.195496,0.042090,46.00,6.743,8,0.00,0,100.0,2.5
1.381165,0.047953,45.00,5.791,7,0.00,0,100.0,2.5
1.512451,0.055876,44.00,6.743,6,0.00,0,100.0,2.5
1.806396,0.066976,45.00,5.831,5,0.00,0,100.0,2.5
1.992676,0.083578,44.00,5.791,4,0.00,0,100.0,2.5
2.679199,0.111421,45.00,6.743,3,0.00,0,100.0,2.5
3.501221,0.166905,44.00,5.831,2,0.00,0,100.0,2.5
7.027222,0.333850,45.00,6.743,1,0.00,0,100.0,2.5
1.200317,0.042125,44.00,6.743,8,0.00,0,100.0,2.5
1.372375,0.048001,44.00,6.743,7,0.00,0,100.0,2.5
1.510132,0.055892,44.00,6.743,6,0.00,0,100.0,2.5
1.835144,0.066932,44.00,6.743,5,0.00,0,100.0,2.5
2.047119,0.083629,44.00,5.831,4,0.00,0,100.0,2.5
2.722778,0.111359,44.00,6.743,3,0.00,0,100.0,2.5
3.517029,0.167035,45.00,5.831,2,0.00,0,100.0,2.5
6.945679,0.333860,44.00,6.743,1,0.00,0,100.0,2.5
