Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.939697,0.012493,33.00,5.550,32,0.00,0,100.0,4.0
1.994995,0.012753,33.00,6.819,31,0.00,0,100.0,4.1
2.075439,0.013077,33.00,5.529,30,0.00,0,100.0,4.1
2.079285,0.013514,34.00,6.819,29,0.00,0,100.0,4.1
2.145935,0.013955,34.00,5.529,28,0.00,0,100.0,4.1
2.224060,0.014390,34.00,5.529,27,0.00,0,100.0,4.1
2.266907,0.014869,34.00,6.819,26,0.00,0,100.0,4.1
2.192078,0.015493,34.00,6.819,25,0.00,0,100.0,4.1
2.253479,0.015936,34.00,6.799,24,0.00,0,100.0,4.1
2.299683,0.016612,34.00,6.799,23,0.00,0,100.0,4.1
2.306824,0.017233,35.00,5.509,22,0.00,0,100.0,4.1
2.389709,0.018068,34.00,5.509,21,0.00,0,100.0,4.1
2.570679,0.018868,34.00,5.509,20,0.00,0,100.0,4.1
2.545166,0.019943,34.00,5.509,19,0.00,0,100.0,4.1
2.681580,0.020951,35.00,6.799,18,0.00,0,100.0,4.1
2.715820,0.022140,35.00,5.509,17,0.00,0,100.0,4.1
2.876465,0.023382,35.00,6.799,16,0.00,0,100.0,4.1
3.312378,0.024875,35.00,6.799,15,0.00,0,100.0,4.1
3.260437,0.026583,35.00,5.509,14,0.00,0,100.0,4.1
3.528442,0.028541,35.00,6.799,13,0.00,0,100.0,4.1
3.848267,0.030815,36.00,5.509,12,0.00,0,100.0,4.1
3.938599,0.033645,36.00,5.509,11,0.00,0,100.0,4.1
4.128540,0.036812,36.00,5.509,10,0.00,0,100.0,4.1
4.700500,0.041004,36.00,6.799,9,0.00,0,100.0,4.1
4.935669,0.045984,36.00,5.509,8,0.00,0,100.0,4.1
5.522034,0.052523,36.00,6.799,7,0.00,0,100.0,4.1
6.321594,0.061230,36.00,5.488,6,0.00,0,100.0,4.1
7.582581,0.073662,36.00,5.488,5,0.00,0,100.0,4.1
8.980530,0.091460,36.00,5.509,4,0.00,0,100.0,4.1
12.066467,0.121959,36.00,6.799,3,0.00,0,100.0,4.1
17.303345,0.182694,36.00,5.488,2,0.00,0,100.0,4.1
34.207703,0.364953,35.00,5.509,1,0.00,0,100.0,4.1
2.107910,0.012255,36.00,5.488,32,0.00,0,100.0,4.1
2.063782,0.012742,35.00,6.799,31,0.00,0,100.0,4.1
2.141113,0.013050,35.00,6.799,30,0.00,0,100.0,4.1
2.112183,0.013529,35.00,5.509,29,0.00,0,100.0,4.1
2.290588,0.013804,35.00,5.509,28,0.00,0,100.0,4.1
2.154053,0.014329,35.00,6.799,27,0.00,0,100.0,4.1
2.328613,0.014885,35.00,5.509,26,0.00,0,100.0,4.1
2.288879,0.015576,35.00,5.509,25,0.00,0,100.0,4.1
2.360840,0.016040,35.00,6.799,24,0.00,0,100.0,4.1
2.326050,0.016519,35.00,5.509,23,0.00,0,100.0,4.1
2.252930,0.017201,35.00,5.509,22,0.00,0,100.0,4.1
2.498596,0.018010,35.00,6.799,21,0.00,0,100.0,4.1
2.473999,0.018900,35.00,6.799,20,0.00,0,100.0,4.1
2.568054,0.019847,36.00,6.799,19,0.00,0,100.0,4.1
2.691650,0.020894,36.00,5.509,18,0.00,0,100.0,4.1
3.034302,0.022029,36.00,5.509,17,0.00,0,100.0,4.1
3.084351,0.023402,36.00,5.509,16,0.00,0,100.0,4.1
3.168152,0.024785,36.00,5.488,15,0.00,0,100.0,4.1
3.424133,0.026572,36.00,6.778,14,0.00,0,100.0,4.1
3.558350,0.028599,36.00,6.778,13,0.00,0,100.0,4.1
3.650696,0.030831,36.00,5.509,12,0.00,0,100.0,4.1
4.036011,0.033619,36.00,6.778,11,0.00,0,100.0,4.1
4.232849,0.036853,37.00,5.488,10,0.00,0,100.0,4.1
4.654968,0.040867,37.00,6.778,9,0.00,0,100.0,4.1
5.089783,0.045941,37.00,5.488,8,0.00,0,100.0,4.1
5.629395,0.052563,36.00,6.799,7,0.00,0,100.0,4.1
6.372559,0.061190,37.00,6.799,6,0.00,0,100.0,4.1
7.562012,0.073212,37.00,6.778,5,0.00,0,100.0,4.1
9.030762,0.091451,37.00,6.778,4,0.00,0,100.0,4.1
11.900269,0.121903,36.00,6.778,3,0.00,0,100.0,4.1
17.297424,0.182608,36.00,6.778,2,0.00,0,100.0,4.1
34.415283,0.365124,37.00,6.778,1,0.00,0,100.0,4.1
2.052612,0.012342,36.00,6.778,32,0.00,0,100.0,4.1
2.130920,0.013043,36.00,6.778,31,0.00,0,100.0,4.1
2.225281,0.014273,37.00,5.488,30,0.00,0,100.0,4.1
2.064636,0.013621,37.00,6.778,29,0.00,0,100.0,4.1
2.052246,0.014143,37.00,5.488,28,0.00,0,100.0,4.1
2.184753,0.014462,36.00,5.509,27,0.00,0,100.0,4.1
2.264160,0.014942,36.00,6.778,26,0.00,0,100.0,4.1
2.286865,0.015442,36.00,6.799,25,0.00,0,100.0,4.1
2.283752,0.016077,37.00,6.778,24,0.00,0,100.0,4.1
2.720947,0.019793,36.00,5.509,23,0.00,0,100.0,4.1
2.395874,0.017436,36.00,6.799,22,0.00,0,100.0,4.1
2.361389,0.018110,36.00,6.778,21,0.00,0,100.0,4.1
2.454346,0.019018,36.00,5.509,20,0.00,0,100.0,4.1
2.764893,0.020420,37.00,6.778,19,0.00,0,100.0,4.1
2.688538,0.020916,36.00,6.778,18,0.00,0,100.0,4.1
2.732422,0.022592,36.00,6.799,17,0.00,0,100.0,4.1
3.058838,0.024358,37.00,6.778,16,0.00,0,100.0,4.1
3.787842,0.025553,37.00,6.778,15,0.00,0,100.0,4.1
3.534668,0.026581,37.00,6.778,14,0.00,0,100.0,4.1
3.532593,0.028580,37.00,6.778,13,0.00,0,100.0,4.1
3.757629,0.030927,37.00,6.778,12,0.00,0,100.0,4.1
3.918640,0.033621,37.00,5.488,11,0.00,0,100.0,4.1
4.183533,0.036962,37.00,5.488,10,0.00,0,100.0,4.1
4.677307,0.040873,37.00,6.778,9,0.00,0,100.0,4.1
5.010986,0.045921,37.00,6.778,8,0.00,0,100.0,4.1
5.554016,0.052477,37.00,6.778,7,0.00,0,100.0,4.1
6.421997,0.061198,37.00,5.488,6,0.00,0,100.0,4.1
7.605835,0.073212,37.00,5.488,5,0.00,0,100.0,4.1
9.085876,0.091601,37.00,6.778,4,0.00,0,100.0,4.1
11.870361,0.121822,37.00,5.488,3,0.00,0,100.0,4.1
17.436707,0.182611,37.00,5.488,2,0.00,0,100.0,4.1
34.430542,0.365541,37.00,5.488,1,0.00,0,100.0,4.1
1.996155,0.012414,37.00,5.488,32,0.00,0,100.0,4.1
2.032898,0.012803,36.00,5.488,31,0.00,0,100.0,4.1
2.104126,0.013339,36.00,5.488,30,0.00,0,100.0,4.1
2.082214,0.014873,37.00,5.488,29,0.00,0,100.0,4.1
2.216003,0.015939,37.00,5.488,28,0.00,0,100.0,4.1
2.288269,0.014477,36.00,6.799,27,0.00,0,100.0,4.1
2.312134,0.014926,37.00,6.799,26,0.00,0,100.0,4.1
2.211670,0.015518,37.00,5.488,25,0.00,0,100.0,4.1
2.706055,0.019037,37.00,5.488,24,0.00,0,100.0,4.1
2.491516,0.016707,37.00,6.799,23,0.00,0,100.0,4.1
2.479919,0.017459,37.00,6.778,22,0.00,0,100.0,4.1
2.520508,0.018146,37.00,5.488,21,0.00,0,100.0,4.1
