Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.687439,0.023414,44.0,6.615,16,0.0,0,100.0,0.8
2.898804,0.024788,45.0,5.468,15,0.0,0,100.0,2.3
2.884338,0.026577,46.0,6.594,14,0.0,0,100.0,2.3
3.037781,0.028475,46.0,6.594,13,0.0,0,100.0,2.3
3.274719,0.03082,46.0,6.594,12,0.0,0,100.0,2.3
3.712769,0.035578,46.0,5.447,11,0.0,0,100.0,2.3
3.950073,0.037829,47.0,5.447,10,0.0,0,100.0,2.3
4.193909,0.040926,47.0,5.447,9,0.0,0,100.0,2.3
4.487793,0.04596,47.0,5.447,8,0.0,0,100.0,2.3
5.08252,0.052674,47.0,6.594,7,0.0,0,100.0,2.3
5.822632,0.061639,47.0,6.594,6,0.0,0,100.0,2.3
6.697937,0.073399,47.0,5.447,5,0.0,0,100.0,2.3
8.36322,0.091439,47.0,5.447,4,0.0,0,100.0,2.3
10.778687,0.121713,47.0,5.447,3,0.0,0,100.0,2.3
15.601868,0.182568,48.0,6.594,2,0.0,0,100.0,2.3
31.25824,0.367093,47.0,5.447,1,0.0,0,100.0,2.3
2.743652,0.023312,47.0,5.447,16,0.0,0,100.0,2.3
2.986511,0.026499,47.0,6.594,15,0.0,0,100.0,2.3
2.912354,0.026525,47.0,5.447,14,0.0,0,100.0,2.3
3.116882,0.028736,47.0,5.447,13,0.0,0,100.0,2.3
3.22522,0.030766,47.0,5.447,12,0.0,0,100.0,2.3
3.489197,0.033538,47.0,6.594,11,0.0,0,100.0,2.3
3.807678,0.037813,47.0,6.594,10,0.0,0,100.0,2.3
4.16156,0.041842,48.0,5.427,9,0.0,0,100.0,2.3
4.543091,0.046758,47.0,5.447,8,0.0,0,100.0,2.3
5.100403,0.052554,47.0,5.447,7,0.0,0,100.0,2.3
5.848694,0.061629,47.0,6.594,6,0.0,0,100.0,2.3
6.844238,0.073598,48.0,6.594,5,0.0,0,100.0,2.3
8.343201,0.091671,47.0,6.594,4,0.0,0,100.0,2.3
10.787354,0.121869,48.0,6.594,3,0.0,0,100.0,2.3
15.873657,0.184896,48.0,6.594,2,0.0,0,100.0,2.3
31.115601,0.365039,47.0,6.594,1,0.0,0,100.0,2.3
2.7323,0.023381,47.0,6.574,16,0.0,0,100.0,2.3
2.771118,0.024805,47.0,6.594,15,0.0,0,100.0,2.3
3.082092,0.027669,48.0,6.594,14,0.0,0,100.0,2.3
