Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.320129,0.023441,32.0,6.594,16,0.0,0,100.0,0.9
2.40741,0.024805,33.0,5.591,15,0.0,0,100.0,2.5
2.515747,0.026529,34.0,6.574,14,0.0,0,100.0,2.5
2.63208,0.028471,34.0,6.574,13,0.0,0,100.0,2.5
2.797913,0.030759,34.0,6.574,12,0.0,0,100.0,2.5
2.965271,0.033497,34.0,6.574,11,0.0,0,100.0,2.5
3.165649,0.036891,35.0,5.57,10,0.0,0,100.0,2.5
3.462646,0.040842,35.0,6.574,9,0.0,0,100.0,2.5
3.950928,0.046521,35.0,5.57,8,0.0,0,100.0,2.5
4.32843,0.05242,35.0,5.57,7,0.0,0,100.0,2.5
4.881287,0.061043,36.0,6.574,6,0.0,0,100.0,2.5
5.733032,0.073207,36.0,6.553,5,0.0,0,100.0,2.5
7.140869,0.091413,37.0,5.57,4,0.0,0,100.0,2.5
9.015381,0.121806,36.0,5.57,3,0.0,0,100.0,2.5
13.268555,0.182476,35.0,6.553,2,0.0,0,100.0,2.5
26.140686,0.36493,36.0,5.57,1,0.0,0,100.0,2.5
2.470093,0.024946,36.0,5.57,16,0.0,0,100.0,2.5
2.440491,0.024822,36.0,5.57,15,0.0,0,100.0,2.5
2.564331,0.026598,36.0,6.553,14,0.0,0,100.0,2.5
2.626831,0.028548,36.0,6.553,13,0.0,0,100.0,2.5
2.960876,0.031834,35.0,6.553,12,0.0,0,100.0,2.5
3.137756,0.034401,35.0,5.57,11,0.0,0,100.0,2.5
3.287109,0.037657,36.0,5.57,10,0.0,0,100.0,2.5
3.492615,0.040857,36.0,5.57,9,0.0,0,100.0,2.5
3.80188,0.045985,36.0,5.57,8,0.0,0,100.0,2.5
4.454346,0.052835,36.0,6.553,7,0.0,0,100.0,2.5
4.975037,0.061112,36.0,6.553,6,0.0,0,100.0,2.5
5.750916,0.073372,36.0,6.553,5,0.0,0,100.0,2.5
7.0979,0.091397,36.0,5.57,4,0.0,0,100.0,2.5
9.104614,0.121717,36.0,6.553,3,0.0,0,100.0,2.5
13.374023,0.182598,37.0,6.553,2,0.0,0,100.0,2.5
26.159729,0.365099,36.0,6.553,1,0.0,0,100.0,2.5
2.368591,0.023264,36.0,6.553,16,0.0,0,100.0,2.5
2.461304,0.024795,35.0,6.574,15,0.0,0,100.0,2.5
2.661621,0.027917,35.0,6.553,14,0.0,0,100.0,2.5
2.852966,0.03055,36.0,6.553,13,0.0,0,100.0,2.5
2.779785,0.030778,36.0,6.553,12,0.0,0,100.0,2.5
2.980408,0.033529,36.0,6.553,11,0.0,0,100.0,2.5
3.203308,0.036748,36.0,5.57,10,0.0,0,100.0,2.5
3.500671,0.040943,36.0,6.553,9,0.0,0,100.0,2.5
3.875183,0.045884,36.0,6.553,8,0.0,0,100.0,2.5
4.272522,0.05234,37.0,6.553,7,0.0,0,100.0,2.5
4.921753,0.061115,36.0,6.553,6,0.0,0,100.0,2.5
5.709534,0.073219,37.0,5.57,5,0.0,0,100.0,2.5
7.092834,0.091406,36.0,6.553,4,0.0,0,100.0,2.5
9.073425,0.121828,37.0,6.553,3,0.0,0,100.0,2.5
13.55835,0.182705,37.0,6.553,2,0.0,0,100.0,2.5
25.956299,0.364987,37.0,6.553,1,0.0,0,100.0,2.5
2.329712,0.023268,36.0,6.553,16,0.0,0,100.0,2.5
2.414001,0.024755,36.0,6.553,15,0.0,0,100.0,2.5
2.554688,0.026608,36.0,6.553,14,0.0,0,100.0,2.5
2.674744,0.028982,36.0,5.57,13,0.0,0,100.0,2.5
2.853943,0.031227,36.0,6.553,12,0.0,0,100.0,2.5
3.022278,0.034178,36.0,5.57,11,0.0,0,100.0,2.5
3.230957,0.037275,36.0,6.553,10,0.0,0,100.0,2.5
3.508972,0.040905,36.0,6.553,9,0.0,0,100.0,2.5
3.8125,0.046464,36.0,6.553,8,0.0,0,100.0,2.5
4.37439,0.052359,36.0,5.57,7,0.0,0,100.0,2.5
4.991516,0.061156,37.0,6.553,6,0.0,0,100.0,2.5
5.69696,0.07322,36.0,6.553,5,0.0,0,100.0,2.5
7.041138,0.091478,36.0,5.57,4,0.0,0,100.0,2.5
9.216248,0.12177,37.0,5.57,3,0.0,0,100.0,2.5
13.498352,0.182597,36.0,6.553,2,0.0,0,100.0,2.5
25.953735,0.364972,36.0,6.553,1,0.0,0,100.0,2.5
2.322571,0.023313,37.0,6.553,16,0.0,0,100.0,2.5
2.428833,0.024761,36.0,6.553,15,0.0,0,100.0,2.5
2.547913,0.026442,36.0,6.553,14,0.0,0,100.0,2.5
2.603699,0.028479,36.0,6.553,13,0.0,0,100.0,2.5
2.862305,0.030775,36.0,6.553,12,0.0,0,100.0,2.5
3.029724,0.033564,36.0,6.553,11,0.0,0,100.0,2.5
3.211304,0.036768,36.0,6.553,10,0.0,0,100.0,2.5
3.540833,0.04086,37.0,6.553,9,0.0,0,100.0,2.5
3.807861,0.045865,36.0,6.553,8,0.0,0,100.0,2.5
4.40918,0.0524,36.0,6.553,7,0.0,0,100.0,2.5
4.996704,0.061082,36.0,5.57,6,0.0,0,100.0,2.5
5.792969,0.073174,36.0,5.57,5,0.0,0,100.0,2.5
7.067017,0.091428,37.0,6.553,4,0.0,0,100.0,2.5
9.087219,0.121925,36.0,6.553,3,0.0,0,100.0,2.5
13.95813,0.18272,37.0,6.553,2,0.0,0,100.0,2.5
26.048706,0.365122,36.0,6.553,1,0.0,0,100.0,2.5
2.316528,0.023284,36.0,6.553,16,0.0,0,100.0,2.5
2.555115,0.026069,36.0,6.553,15,0.0,0,100.0,2.5
2.544373,0.026595,36.0,6.553,14,0.0,0,100.0,2.5
2.768494,0.029803,35.0,6.553,13,0.0,0,100.0,2.5
2.812622,0.03078,36.0,6.553,12,0.0,0,100.0,2.5
3.015259,0.033616,35.0,6.553,11,0.0,0,100.0,2.5
3.203857,0.036894,36.0,5.57,10,0.0,0,100.0,2.5
3.529785,0.040912,36.0,5.57,9,0.0,0,100.0,2.5
3.866577,0.045898,36.0,5.57,8,0.0,0,100.0,2.5
4.423035,0.052355,36.0,6.553,7,0.0,0,100.0,2.5
4.852173,0.061045,36.0,5.57,6,0.0,0,100.0,2.5
5.753052,0.07353,36.0,6.553,5,0.0,0,100.0,2.5
7.037048,0.091384,37.0,6.553,4,0.0,0,100.0,2.5
9.024048,0.121821,36.0,6.553,3,0.0,0,100.0,2.5
13.474121,0.182596,37.0,6.553,2,0.0,0,100.0,2.5
26.090027,0.364908,36.0,6.553,1,0.0,0,100.0,2.5
2.309265,0.023412,37.0,6.553,16,0.0,0,100.0,2.5
2.398315,0.024868,36.0,6.553,15,0.0,0,100.0,2.5
2.558899,0.026506,36.0,6.553,14,0.0,0,100.0,2.5
2.666992,0.028508,36.0,6.553,13,0.0,0,100.0,2.5
2.887512,0.030868,36.0,5.57,12,0.0,0,100.0,2.5
3.132263,0.034599,36.0,6.553,11,0.0,0,100.0,2.5
3.21814,0.036838,36.0,6.553,10,0.0,0,100.0,2.5
3.526978,0.041629,36.0,6.553,9,0.0,0,100.0,2.5
