Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.042358,0.014809,31.0,7.127,26,0.0,0,100.0,0.8
1.987366,0.015564,33.0,7.106,25,0.0,0,100.0,2.4
2.067871,0.016108,34.0,7.106,24,0.0,0,100.0,2.4
2.31665,0.019239,34.0,7.106,23,0.0,0,100.0,2.4
2.147217,0.017359,34.0,7.106,22,0.0,0,100.0,2.4
2.444214,0.020896,34.0,7.106,21,0.0,0,100.0,2.4
2.213745,0.019532,34.0,7.106,20,0.0,0,100.0,2.4
2.592407,0.022315,34.0,7.106,19,0.0,0,100.0,2.4
2.371887,0.021219,34.0,7.106,18,0.0,0,100.0,2.4
2.384583,0.022213,34.0,5.672,17,0.0,0,100.0,2.4
2.710144,0.02433,35.0,7.106,16,0.0,0,100.0,2.4
2.854675,0.026381,34.0,7.086,15,0.0,0,100.0,2.4
2.80957,0.02709,34.0,7.106,14,0.0,0,100.0,2.4
3.174805,0.030141,35.0,7.086,13,0.0,0,100.0,2.4
3.487366,0.032302,35.0,7.086,12,0.0,0,100.0,2.4
3.374084,0.033543,35.0,7.086,11,0.0,0,100.0,2.4
3.634888,0.037394,35.0,7.086,10,0.0,0,100.0,2.4
4.151672,0.041991,36.0,7.086,9,0.0,0,100.0,2.4
4.483826,0.045884,35.0,7.086,8,0.0,0,100.0,2.4
4.97467,0.053137,36.0,7.086,7,0.0,0,100.0,2.4
5.652344,0.061649,35.0,7.086,6,0.0,0,100.0,2.4
6.49231,0.073249,35.0,7.086,5,0.0,0,100.0,2.4
7.899292,0.091636,36.0,7.086,4,0.0,0,100.0,2.4
10.324951,0.121753,36.0,5.652,3,0.0,0,100.0,2.4
14.864746,0.182464,36.0,7.086,2,0.0,0,100.0,2.4
29.521606,0.365085,36.0,7.086,1,0.0,0,100.0,2.4
1.989624,0.014893,36.0,7.086,26,0.0,0,100.0,2.4
2.06604,0.015521,35.0,7.086,25,0.0,0,100.0,2.4
2.23645,0.017747,35.0,7.086,24,0.0,0,100.0,2.4
2.041809,0.016837,34.0,7.086,23,0.0,0,100.0,2.4
2.108948,0.017439,34.0,7.086,22,0.0,0,100.0,2.4
2.467224,0.020419,35.0,5.652,21,0.0,0,100.0,2.4
2.257935,0.019392,35.0,7.086,20,0.0,0,100.0,2.4
2.412659,0.019893,35.0,7.086,19,0.0,0,100.0,2.4
2.430359,0.020987,35.0,7.086,18,0.0,0,100.0,2.4
2.40094,0.022221,35.0,7.086,17,0.0,0,100.0,2.4
2.517883,0.023515,35.0,7.086,16,0.0,0,100.0,2.4
2.856995,0.0265,36.0,5.652,15,0.0,0,100.0,2.4
2.923645,0.026605,35.0,7.086,14,0.0,0,100.0,2.4
3.12616,0.029149,36.0,7.086,13,0.0,0,100.0,2.4
3.360413,0.030886,36.0,7.086,12,0.0,0,100.0,2.4
3.503601,0.033661,36.0,5.652,11,0.0,0,100.0,2.4
3.815918,0.037809,36.0,7.086,10,0.0,0,100.0,2.4
4.038635,0.041,36.0,7.086,9,0.0,0,100.0,2.4
4.403442,0.04599,36.0,7.086,8,0.0,0,100.0,2.4
4.855591,0.052449,36.0,7.086,7,0.0,0,100.0,2.4
5.546021,0.061396,37.0,7.086,6,0.0,0,100.0,2.4
6.47583,0.073253,37.0,7.086,5,0.0,0,100.0,2.4
7.944092,0.091472,37.0,5.631,4,0.0,0,100.0,2.4
10.32782,0.121855,37.0,7.086,3,0.0,0,100.0,2.4
14.928223,0.18259,37.0,7.086,2,0.0,0,100.0,2.4
29.506775,0.364933,37.0,7.086,1,0.0,0,100.0,2.4
2.019409,0.014902,36.0,7.086,26,0.0,0,100.0,2.4
2.018188,0.015586,35.0,7.086,25,0.0,0,100.0,2.4
2.069397,0.016095,35.0,7.086,24,0.0,0,100.0,2.4
2.316101,0.018782,35.0,7.086,23,0.0,0,100.0,2.4
2.17511,0.01881,35.0,7.086,22,0.0,0,100.0,2.4
2.206543,0.018322,35.0,7.086,21,0.0,0,100.0,2.4
2.509766,0.02132,35.0,7.086,20,0.0,0,100.0,2.4
2.38739,0.020039,35.0,7.086,19,0.0,0,100.0,2.4
2.30896,0.020919,36.0,7.086,18,0.0,0,100.0,2.4
2.417297,0.02207,35.0,7.086,17,0.0,0,100.0,2.4
2.69342,0.024396,35.0,7.086,16,0.0,0,100.0,2.4
2.742615,0.024826,36.0,7.086,15,0.0,0,100.0,2.4
