Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.059631,0.016818,-1.0,-1.0,24,0.0,0,100.0,0.9
2.097717,0.017603,-1.0,-1.0,23,0.0,0,100.0,2.5
2.371155,0.020488,-1.0,-1.0,22,0.0,0,100.0,2.5
2.144714,0.020132,-1.0,-1.0,21,0.0,0,100.0,2.5
2.232178,0.020309,-1.0,-1.0,20,0.0,0,100.0,2.5
2.481079,0.023408,-1.0,-1.0,19,0.0,0,100.0,2.5
2.622803,0.024267,-1.0,-1.0,18,0.0,0,100.0,2.5
2.473755,0.023223,-1.0,-1.0,17,0.0,0,100.0,2.5
2.944519,0.026538,-1.0,-1.0,16,0.0,0,100.0,2.5
2.62323,0.026817,-1.0,-1.0,15,0.0,0,100.0,2.5
2.52948,0.027923,-1.0,-1.0,14,0.0,0,100.0,2.5
2.851074,0.0304,-1.0,-1.0,13,0.0,0,100.0,2.5
3.37677,0.032273,-1.0,-1.0,12,0.0,0,100.0,2.5
3.641113,0.036591,-1.0,-1.0,11,0.0,0,100.0,2.5
3.694092,0.039764,-1.0,-1.0,10,0.0,0,100.0,2.5
4.467712,0.043927,-1.0,-1.0,9,0.0,0,100.0,2.5
4.483887,0.048976,-1.0,-1.0,8,0.0,0,100.0,2.5
5.196716,0.055727,-1.0,-1.0,7,0.0,0,100.0,2.5
5.802124,0.06466,-1.0,-1.0,6,0.0,0,100.0,2.5
6.795593,0.077151,-1.0,-1.0,5,0.0,0,100.0,2.5
8.006409,0.096114,-1.0,-1.0,4,0.0,0,100.0,2.5
10.12207,0.12767,-1.0,-1.0,3,0.0,0,100.0,2.5
15.863464,0.191243,-1.0,-1.0,2,0.0,0,100.0,2.5
30.582642,0.382347,-1.0,-1.0,1,0.0,0,100.0,2.5
2.143066,0.016836,-1.0,-1.0,24,0.0,0,100.0,2.5
2.409363,0.019036,-1.0,-1.0,23,0.0,0,100.0,2.5
1.937317,0.018171,-1.0,-1.0,22,0.0,0,100.0,2.5
1.894165,0.018963,-1.0,-1.0,21,0.0,0,100.0,2.5
2.477417,0.020811,-1.0,-1.0,20,0.0,0,100.0,2.5
2.487061,0.020819,-1.0,-1.0,19,0.0,0,100.0,2.5
2.514343,0.022644,-1.0,-1.0,18,0.0,0,100.0,2.5
2.90332,0.024554,-1.0,-1.0,17,0.0,0,100.0,2.5
2.919495,0.025087,-1.0,-1.0,16,0.0,0,100.0,2.5
2.834412,0.026012,-1.0,-1.0,15,0.0,0,100.0,2.5
2.771423,0.027814,-1.0,-1.0,14,0.0,0,100.0,2.5
2.697815,0.030292,-1.0,-1.0,13,0.0,0,100.0,2.5
3.272156,0.032286,-1.0,-1.0,12,0.0,0,100.0,2.5
3.325745,0.036619,-1.0,-1.0,11,0.0,0,100.0,2.5
3.504272,0.038697,-1.0,-1.0,10,0.0,0,100.0,2.5
4.223694,0.042833,-1.0,-1.0,9,0.0,0,100.0,2.5
4.555054,0.048195,-1.0,-1.0,8,0.0,0,100.0,2.5
4.735596,0.054931,-1.0,-1.0,7,0.0,0,100.0,2.5
5.642517,0.064609,-1.0,-1.0,6,0.0,0,100.0,2.5
6.808289,0.077267,-1.0,-1.0,5,0.0,0,100.0,2.5
7.735901,0.095789,-1.0,-1.0,4,0.0,0,100.0,2.5
10.69751,0.127613,-1.0,-1.0,3,0.0,0,100.0,2.5
14.996643,0.191243,-1.0,-1.0,2,0.0,0,100.0,2.5
30.324036,0.382564,-1.0,-1.0,1,0.0,0,100.0,2.5
2.021606,0.017681,-1.0,-1.0,24,0.0,0,100.0,2.5
2.094482,0.017401,-1.0,-1.0,23,0.0,0,100.0,2.5
2.610291,0.020002,-1.0,-1.0,22,0.0,0,100.0,2.5
1.960205,0.01888,-1.0,-1.0,21,0.0,0,100.0,2.5
2.301331,0.019814,-1.0,-1.0,20,0.0,0,100.0,2.5
2.407837,0.021173,-1.0,-1.0,19,0.0,0,100.0,2.5
2.541809,0.023894,-1.0,-1.0,18,0.0,0,100.0,2.5
2.585876,0.023248,-1.0,-1.0,17,0.0,0,100.0,2.5
2.796143,0.024492,-1.0,-1.0,16,0.0,0,100.0,2.5
3.074646,0.028013,-1.0,-1.0,15,0.0,0,100.0,2.5
2.447754,0.027756,-1.0,-1.0,14,0.0,0,100.0,2.5
2.710388,0.029939,-1.0,-1.0,13,0.0,0,100.0,2.5
3.480225,0.033793,-1.0,-1.0,12,0.0,0,100.0,2.5
3.737427,0.036372,-1.0,-1.0,11,0.0,0,100.0,2.5
4.081482,0.039672,-1.0,-1.0,10,0.0,0,100.0,2.5
4.147095,0.043859,-1.0,-1.0,9,0.0,0,100.0,2.5
4.319275,0.048069,-1.0,-1.0,8,0.0,0,100.0,2.5
5.146362,0.055563,-1.0,-1.0,7,0.0,0,100.0,2.5
5.900879,0.064479,-1.0,-1.0,6,0.0,0,100.0,2.5
6.740417,0.076653,-1.0,-1.0,5,0.0,0,100.0,2.5
8.179138,0.095774,-1.0,-1.0,4,0.0,0,100.0,2.5
10.41626,0.127701,-1.0,-1.0,3,0.0,0,100.0,2.5
15.272888,0.191272,-1.0,-1.0,2,0.0,0,100.0,2.5
30.857422,0.38261,-1.0,-1.0,1,0.0,0,100.0,2.5
2.202393,0.016696,-1.0,-1.0,24,0.0,0,100.0,2.5
2.390747,0.02023,-1.0,-1.0,23,0.0,0,100.0,2.5
2.525513,0.021014,-1.0,-1.0,22,0.0,0,100.0,2.5
