Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.082764,0.074172,68.00,9.387,4,0.00,0,100.0,2.7
2.356583,0.098708,67.00,9.264,3,0.00,0,100.0,2.9
2.670853,0.147952,66.00,9.264,2,0.00,0,100.0,2.9
3.298721,0.236641,71.00,9.469,1,0.00,0,100.0,2.9
2.063370,0.074098,66.00,9.264,4,0.00,0,100.0,2.9
2.273193,0.098701,65.00,9.264,3,0.00,0,100.0,2.9
2.697937,0.147849,69.00,9.469,2,0.00,0,100.0,2.9
3.299072,0.236627,65.00,9.264,1,0.00,0,100.0,2.9
1.981720,0.074098,66.00,9.305,4,0.00,0,100.0,2.9
2.273514,0.098716,69.00,9.305,3,0.00,0,100.0,2.9
2.775681,0.148002,65.00,9.264,2,0.00,0,100.0,2.9
3.283539,0.236663,64.00,9.264,1,0.00,0,100.0,2.9
2.000290,0.074089,65.00,9.264,4,0.00,0,100.0,2.9
2.112305,0.088948,68.00,9.305,3,0.00,0,100.0,2.9
2.812256,0.147991,63.00,9.264,2,0.00,0,100.0,2.9
4.107758,0.295784,63.00,9.264,1,0.00,0,100.0,2.9
2.087555,0.074084,65.00,9.264,4,0.00,0,100.0,2.9
2.079865,0.088873,64.00,9.264,3,0.00,0,100.0,2.9
2.791992,0.148031,68.00,9.305,2,0.00,0,100.0,2.9
3.706467,0.266267,64.00,9.264,1,0.00,0,100.0,2.9
2.105331,0.074106,65.00,9.264,4,0.00,0,100.0,2.9
2.280182,0.098674,63.00,9.264,3,0.00,0,100.0,2.9
2.672699,0.147985,63.00,9.264,2,0.00,0,100.0,2.9
4.067352,0.295761,69.00,9.469,1,0.00,0,100.0,2.9
2.066025,0.074113,66.00,9.264,4,0.00,0,100.0,2.9
2.282822,0.098693,63.00,9.264,3,0.00,0,100.0,2.9
2.824371,0.147959,67.00,9.264,2,0.00,0,100.0,2.9
3.454987,0.236732,62.00,9.469,1,0.00,0,100.0,2.9
2.267609,0.074503,63.00,9.797,4,0.00,0,100.0,2.9
2.377075,0.098735,63.00,9.633,3,0.00,0,100.0,2.9
2.753098,0.147932,67.00,9.469,2,0.00,0,100.0,2.9
4.081726,0.295998,68.00,9.469,1,0.00,0,100.0,2.9
2.072449,0.074128,64.00,9.469,4,0.00,0,100.0,2.9
2.279694,0.098725,64.00,9.633,3,0.00,0,100.0,2.9
2.470261,0.133173,62.00,9.428,2,0.00,0,100.0,2.9
3.665863,0.266362,68.00,9.633,1,0.00,0,100.0,2.9
2.026321,0.074173,64.00,9.469,4,0.00,0,100.0,2.9
2.299438,0.098627,62.00,9.428,3,0.00,0,100.0,2.9
2.811600,0.147990,68.00,9.305,2,0.00,0,100.0,2.9
3.264969,0.236761,64.00,9.633,1,0.00,0,100.0,2.9
2.098663,0.074123,64.00,9.469,4,0.00,0,100.0,2.9
2.344650,0.098743,62.00,9.428,3,0.00,0,100.0,2.9
2.675598,0.147906,62.00,9.264,2,0.00,0,100.0,2.9
4.042740,0.295863,68.00,9.469,1,0.00,0,100.0,2.9
2.021286,0.074105,65.00,9.264,4,0.00,0,100.0,2.9
2.385605,0.098720,68.00,9.633,3,0.00,0,100.0,2.9
2.478348,0.133151,62.00,9.264,2,0.00,0,100.0,2.9
3.265610,0.236786,68.00,9.469,1,0.00,0,100.0,2.9
2.119431,0.074116,64.00,9.264,4,0.00,0,100.0,2.9
2.322952,0.098749,62.00,9.264,3,0.00,0,100.0,2.9
2.650955,0.147954,61.00,9.264,2,0.00,0,100.0,2.9
4.047302,0.295884,67.00,9.305,1,0.00,0,100.0,2.9
1.961807,0.074052,64.00,9.264,4,0.00,0,100.0,2.9
2.332520,0.098722,67.00,9.264,3,0.00,0,100.0,2.9
2.807892,0.148021,66.00,9.633,2,0.00,0,100.0,2.9
3.670395,0.266336,63.00,9.264,1,0.00,0,100.0,2.9
2.103729,0.074088,65.00,9.264,4,0.00,0,100.0,2.9
2.230865,0.098653,63.00,9.797,3,0.00,0,100.0,2.9
2.477585,0.133134,67.00,9.469,2,0.00,0,100.0,2.9
4.052338,0.295964,63.00,9.264,1,0.00,0,100.0,2.9
2.124802,0.074134,65.00,9.264,4,0.00,0,100.0,2.9
2.339340,0.098780,62.00,9.797,3,0.00,0,100.0,2.9
2.518555,0.133173,62.00,9.428,2,0.00,0,100.0,2.9
3.283188,0.236785,62.00,9.264,1,0.00,0,100.0,2.9
2.003174,0.074090,63.00,9.469,4,0.00,0,100.0,2.9
2.379379,0.098737,67.00,9.838,3,0.00,0,100.0,2.9
2.807709,0.148060,62.00,9.428,2,0.00,0,100.0,2.9
3.248444,0.236787,62.00,9.633,1,0.00,0,100.0,2.9
1.953308,0.074058,64.00,9.633,4,0.00,0,100.0,2.9
2.309448,0.098730,67.00,9.469,3,0.00,0,100.0,2.9
2.816681,0.148022,62.00,9.633,2,0.00,0,100.0,2.9
