Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.476624,0.032709,-1.00,-1.000,12,0.00,0,100.0,0.8
1.584045,0.035571,-1.00,-1.000,11,0.00,0,100.0,2.4
1.716125,0.039009,-1.00,-1.000,10,0.00,0,100.0,2.4
1.924316,0.043157,-1.00,-1.000,9,0.00,0,100.0,2.4
2.046631,0.048930,-1.00,-1.000,8,0.00,0,100.0,2.4
2.280884,0.055664,-1.00,-1.000,7,0.00,0,100.0,2.4
2.676758,0.064673,-1.00,-1.000,6,0.00,0,100.0,2.4
3.030334,0.076812,-1.00,-1.000,5,0.00,0,100.0,2.4
3.686462,0.095979,-1.00,-1.000,4,0.00,0,100.0,2.4
4.928894,0.127948,-1.00,-1.000,3,0.00,0,100.0,2.4
6.985718,0.191510,-1.00,-1.000,2,0.00,0,100.0,2.4
13.605896,0.383188,-1.00,-1.000,1,0.00,0,100.0,2.4
1.475708,0.032620,-1.00,-1.000,12,0.00,0,100.0,2.4
1.577698,0.035475,-1.00,-1.000,11,0.00,0,100.0,2.4
1.750916,0.039160,-1.00,-1.000,10,0.00,0,100.0,2.4
1.881958,0.042955,-1.00,-1.000,9,0.00,0,100.0,2.4
2.015869,0.048491,-1.00,-1.000,8,0.00,0,100.0,2.4
2.295044,0.054990,-1.00,-1.000,7,0.00,0,100.0,2.4
2.563416,0.064451,-1.00,-1.000,6,0.00,0,100.0,2.4
3.022095,0.076806,-1.00,-1.000,5,0.00,0,100.0,2.4
3.701416,0.095793,-1.00,-1.000,4,0.00,0,100.0,2.4
4.920349,0.127824,-1.00,-1.000,3,0.00,0,100.0,2.4
7.034424,0.191832,-1.00,-1.000,2,0.00,0,100.0,2.4
13.634338,0.383307,-1.00,-1.000,1,0.00,0,100.0,2.4
1.465210,0.032539,-1.00,-1.000,12,0.00,0,100.0,2.4
1.591064,0.035694,-1.00,-1.000,11,0.00,0,100.0,2.4
1.685425,0.038813,-1.00,-1.000,10,0.00,0,100.0,2.4
1.852295,0.043227,-1.00,-1.000,9,0.00,0,100.0,2.4
1.968018,0.048291,-1.00,-1.000,8,0.00,0,100.0,2.4
2.295288,0.055568,-1.00,-1.000,7,0.00,0,100.0,2.4
2.821655,0.064874,-1.00,-1.000,6,0.00,0,100.0,2.4
3.033142,0.077011,-1.00,-1.000,5,0.00,0,100.0,2.4
3.668945,0.096396,-1.00,-1.000,4,0.00,0,100.0,2.4
4.869446,0.128436,-1.00,-1.000,3,0.00,0,100.0,2.4
6.989380,0.191586,-1.00,-1.000,2,0.00,0,100.0,2.4
13.563538,0.383263,-1.00,-1.000,1,0.00,0,100.0,2.4
1.468994,0.032637,-1.00,-1.000,12,0.00,0,100.0,2.4
1.615356,0.035455,-1.00,-1.000,11,0.00,0,100.0,2.4
1.666504,0.038818,-1.00,-1.000,10,0.00,0,100.0,2.4
1.863464,0.043160,-1.00,-1.000,9,0.00,0,100.0,2.4
2.008789,0.048427,-1.00,-1.000,8,0.00,0,100.0,2.4
2.245361,0.055199,-1.00,-1.000,7,0.00,0,100.0,2.4
2.567993,0.064611,-1.00,-1.000,6,0.00,0,100.0,2.4
3.011414,0.076811,-1.00,-1.000,5,0.00,0,100.0,2.4
3.650208,0.096231,-1.00,-1.000,4,0.00,0,100.0,2.4
4.865479,0.127918,-1.00,-1.000,3,0.00,0,100.0,2.4
6.978210,0.191803,-1.00,-1.000,2,0.00,0,100.0,2.4
13.558899,0.382961,-1.00,-1.000,1,0.00,0,100.0,2.4
1.472900,0.032620,-1.00,-1.000,12,0.00,0,100.0,2.4
1.574707,0.035388,-1.00,-1.000,11,0.00,0,100.0,2.4
1.692688,0.039074,-1.00,-1.000,10,0.00,0,100.0,2.4
1.870544,0.043048,-1.00,-1.000,9,0.00,0,100.0,2.4
2.010681,0.048235,-1.00,-1.000,8,0.00,0,100.0,2.4
2.243469,0.055527,-1.00,-1.000,7,0.00,0,100.0,2.4
2.568970,0.064702,-1.00,-1.000,6,0.00,0,100.0,2.4
3.024170,0.076796,-1.00,-1.000,5,0.00,0,100.0,2.4
3.688477,0.095857,-1.00,-1.000,4,0.00,0,100.0,2.4
4.850708,0.128111,-1.00,-1.000,3,0.00,0,100.0,2.4
6.976624,0.191744,-1.00,-1.000,2,0.00,0,100.0,2.4
13.537720,0.382813,-1.00,-1.000,1,0.00,0,100.0,2.4
1.488647,0.032776,-1.00,-1.000,12,0.00,0,100.0,2.4
1.572083,0.035515,-1.00,-1.000,11,0.00,0,100.0,2.4
1.694946,0.038869,-1.00,-1.000,10,0.00,0,100.0,2.4
1.856628,0.043140,-1.00,-1.000,9,0.00,0,100.0,2.4
1.965271,0.048571,-1.00,-1.000,8,0.00,0,100.0,2.4
2.328918,0.055375,-1.00,-1.000,7,0.00,0,100.0,2.4
2.541931,0.064423,-1.00,-1.000,6,0.00,0,100.0,2.4
3.053101,0.076832,-1.00,-1.000,5,0.00,0,100.0,2.4
3.660156,0.096100,-1.00,-1.000,4,0.00,0,100.0,2.4
4.859741,0.127831,-1.00,-1.000,3,0.00,0,100.0,2.4
6.972839,0.191915,-1.00,-1.000,2,0.00,0,100.0,2.4
13.543884,0.382911,-1.00,-1.000,1,0.00,0,100.0,2.4
1.476257,0.032578,-1.00,-1.000,12,0.00,0,100.0,2.4
1.570312,0.035484,-1.00,-1.000,11,0.00,0,100.0,2.4
1.692932,0.038844,-1.00,-1.000,10,0.00,0,100.0,2.4
1.866699,0.043419,-1.00,-1.000,9,0.00,0,100.0,2.4
2.043884,0.048673,-1.00,-1.000,8,0.00,0,100.0,2.4
2.333496,0.055532,-1.00,-1.000,7,0.00,0,100.0,2.4
2.577454,0.064091,-1.00,-1.000,6,0.00,0,100.0,2.4
3.042786,0.076809,-1.00,-1.000,5,0.00,0,100.0,2.4
3.645813,0.096105,-1.00,-1.000,4,0.00,0,100.0,2.4
4.880371,0.128000,-1.00,-1.000,3,0.00,0,100.0,2.4
6.984314,0.191836,-1.00,-1.000,2,0.00,0,100.0,2.4
13.534180,0.382863,-1.00,-1.000,1,0.00,0,100.0,2.4
