Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.789124,0.024837,55.0,6.159,16,0.0,0,100.0,0.8
1.873901,0.026601,55.0,6.143,15,0.0,0,100.0,2.4
1.909546,0.028054,56.0,6.143,14,0.0,0,100.0,2.4
2.03064,0.030423,56.0,6.143,13,0.0,0,100.0,2.4
2.13739,0.032515,56.0,5.209,12,0.0,0,100.0,2.4
2.353516,0.035343,57.0,5.209,11,0.0,0,100.0,2.4
2.478699,0.039191,57.0,5.209,10,0.0,0,100.0,2.4
2.721191,0.043368,57.0,6.143,9,0.0,0,100.0,2.4
2.969299,0.048186,57.0,6.134,8,0.0,0,100.0,2.4
3.37323,0.055466,57.0,5.198,7,0.0,0,100.0,2.4
3.816956,0.064347,57.0,6.134,6,0.0,0,100.0,2.4
4.56958,0.077043,57.0,6.134,5,0.0,0,100.0,2.4
5.436096,0.095958,57.0,6.134,4,0.0,0,100.0,2.4
7.246338,0.128134,58.0,6.134,3,0.0,0,100.0,2.4
10.389832,0.191637,58.0,6.134,2,0.0,0,100.0,2.4
20.369507,0.382912,58.0,5.198,1,0.0,0,100.0,2.4
1.791321,0.02481,58.0,5.198,16,0.0,0,100.0,2.4
1.821899,0.026268,58.0,6.134,15,0.0,0,100.0,2.4
1.967896,0.028076,58.0,6.134,14,0.0,0,100.0,2.4
2.107605,0.030408,58.0,6.134,13,0.0,0,100.0,2.4
2.174255,0.032519,58.0,5.198,12,0.0,0,100.0,2.4
2.397583,0.035466,58.0,5.198,11,0.0,0,100.0,2.4
2.494263,0.038926,58.0,5.187,10,0.0,0,100.0,2.4
2.714905,0.04292,58.0,5.198,9,0.0,0,100.0,2.4
2.97644,0.048202,58.0,6.134,8,0.0,0,100.0,2.4
3.36145,0.055201,58.0,6.126,7,0.0,0,100.0,2.4
3.833618,0.064033,58.0,6.126,6,0.0,0,100.0,2.4
4.507385,0.076951,58.0,6.126,5,0.0,0,100.0,2.4
5.359253,0.095969,58.0,5.187,4,0.0,0,100.0,2.4
7.125305,0.127795,58.0,6.134,3,0.0,0,100.0,2.4
10.298035,0.191396,58.0,6.134,2,0.0,0,100.0,2.4
20.142273,0.38269,58.0,6.126,1,0.0,0,100.0,2.4
1.806213,0.024855,58.0,5.198,16,0.0,0,100.0,2.4
1.825989,0.026238,58.0,6.134,15,0.0,0,100.0,2.4
1.898438,0.028027,58.0,5.198,14,0.0,0,100.0,2.4
2.112305,0.030155,58.0,6.126,13,0.0,0,100.0,2.4
2.186707,0.032585,58.0,5.198,12,0.0,0,100.0,2.4
2.393372,0.03569,58.0,5.198,11,0.0,0,100.0,2.4
2.501892,0.038842,58.0,6.134,10,0.0,0,100.0,2.4
2.767334,0.042971,58.0,5.187,9,0.0,0,100.0,2.4
3.110535,0.048304,58.0,6.126,8,0.0,0,100.0,2.4
3.454956,0.055228,58.0,6.134,7,0.0,0,100.0,2.4
3.828186,0.064277,58.0,5.198,6,0.0,0,100.0,2.4
4.547729,0.076923,58.0,5.187,5,0.0,0,100.0,2.4
5.413818,0.095758,58.0,5.187,4,0.0,0,100.0,2.4
7.083679,0.127787,58.0,6.126,3,0.0,0,100.0,2.4
10.307495,0.19141,58.0,6.126,2,0.0,0,100.0,2.4
20.09137,0.382622,58.0,6.126,1,0.0,0,100.0,2.4
1.807068,0.0248,58.0,5.198,16,0.0,0,100.0,2.4
1.905884,0.026236,58.0,6.126,15,0.0,0,100.0,2.4
1.897278,0.028047,58.0,5.198,14,0.0,0,100.0,2.4
2.033936,0.030072,58.0,6.126,13,0.0,0,100.0,2.4
2.191162,0.032488,58.0,6.134,12,0.0,0,100.0,2.4
2.341187,0.035315,58.0,6.126,11,0.0,0,100.0,2.4
2.488892,0.03889,58.0,6.134,10,0.0,0,100.0,2.4
2.762695,0.043346,58.0,5.187,9,0.0,0,100.0,2.4
2.96814,0.048191,58.0,5.187,8,0.0,0,100.0,2.4
3.347412,0.055034,58.0,5.187,7,0.0,0,100.0,2.4
3.795105,0.0643,58.0,6.126,6,0.0,0,100.0,2.4
4.51062,0.076716,58.0,6.126,5,0.0,0,100.0,2.4
5.412537,0.096353,58.0,6.126,4,0.0,0,100.0,2.4
7.097168,0.127605,58.0,6.126,3,0.0,0,100.0,2.4
10.266296,0.191433,58.0,5.187,2,0.0,0,100.0,2.4
20.134949,0.38285,58.0,6.126,1,0.0,0,100.0,2.4
1.863037,0.024805,58.0,6.134,16,0.0,0,100.0,2.4
1.827637,0.026253,58.0,6.134,15,0.0,0,100.0,2.4
1.910706,0.028051,58.0,6.134,14,0.0,0,100.0,2.4
2.049377,0.030108,58.0,6.126,13,0.0,0,100.0,2.4
2.181274,0.032486,58.0,5.198,12,0.0,0,100.0,2.4
2.325439,0.03545,58.0,6.126,11,0.0,0,100.0,2.4
2.473511,0.038822,58.0,5.187,10,0.0,0,100.0,2.4
2.805969,0.0434,58.0,5.187,9,0.0,0,100.0,2.4
2.98761,0.048196,58.0,6.134,8,0.0,0,100.0,2.4
3.406738,0.05512,58.0,6.126,7,0.0,0,100.0,2.4
3.79303,0.063986,58.0,5.187,6,0.0,0,100.0,2.4
4.578674,0.076768,58.0,5.187,5,0.0,0,100.0,2.4
5.361633,0.095754,58.0,5.187,4,0.0,0,100.0,2.4
7.115967,0.127929,58.0,5.187,3,0.0,0,100.0,2.4
10.220947,0.191438,58.0,6.126,2,0.0,0,100.0,2.4
20.084656,0.382729,58.0,6.126,1,0.0,0,100.0,2.4
1.809204,0.024793,58.0,6.134,16,0.0,0,100.0,2.4
1.954529,0.026244,58.0,6.126,15,0.0,0,100.0,2.4
1.893555,0.028057,58.0,6.126,14,0.0,0,100.0,2.4
2.043579,0.030092,58.0,6.134,13,0.0,0,100.0,2.4
2.216919,0.032568,58.0,6.134,12,0.0,0,100.0,2.4
2.327942,0.035408,58.0,6.134,11,0.0,0,100.0,2.4
2.508423,0.038723,58.0,5.187,10,0.0,0,100.0,2.4
2.720764,0.042916,58.0,6.126,9,0.0,0,100.0,2.4
2.939209,0.048129,58.0,5.187,8,0.0,0,100.0,2.4
3.40332,0.055446,58.0,6.126,7,0.0,0,100.0,2.4
3.804626,0.064541,58.0,5.187,6,0.0,0,100.0,2.4
4.581604,0.076887,58.0,6.126,5,0.0,0,100.0,2.4
5.419678,0.095968,58.0,5.187,4,0.0,0,100.0,2.4
7.174744,0.127754,58.0,5.187,3,0.0,0,100.0,2.4
10.297119,0.191497,58.0,5.187,2,0.0,0,100.0,2.4
21.807556,0.382808,58.0,5.187,1,0.0,0,100.0,2.4
1.844238,0.024723,58.0,6.126,16,0.0,0,100.0,2.4
1.902466,0.026513,58.0,6.126,15,0.0,0,100.0,2.4
2.027893,0.028115,58.0,5.187,14,0.0,0,100.0,2.4
2.054565,0.03011,58.0,6.134,13,0.0,0,100.0,2.4
2.117676,0.032516,58.0,6.134,12,0.0,0,100.0,2.4
2.31134,0.035484,58.0,5.187,11,0.0,0,100.0,2.4
2.571289,0.039198,58.0,6.126,10,0.0,0,100.0,2.4
2.750488,0.042939,58.0,6.126,9,0.0,0,100.0,2.4
2.972168,0.048173,58.0,5.187,8,0.0,0,100.0,2.4
3.383972,0.055204,58.0,6.126,7,0.0,0,100.0,2.4
3.799316,0.06405,58.0,5.187,6,0.0,0,100.0,2.4
4.549255,0.077037,58.0,5.187,5,0.0,0,100.0,2.4
5.392822,0.095908,58.0,5.198,4,0.0,0,100.0,2.4
7.167664,0.128155,58.0,6.126,3,0.0,0,100.0,2.4
10.233154,0.191423,58.0,5.187,2,0.0,0,100.0,2.4
20.046143,0.382805,58.0,6.126,1,0.0,0,100.0,2.4
1.80481,0.024818,58.0,6.126,16,0.0,0,100.0,2.4
1.830505,0.026248,58.0,6.134,15,0.0,0,100.0,2.4
1.975281,0.028103,58.0,6.134,14,0.0,0,100.0,2.4
2.11322,0.030491,58.0,5.187,13,0.0,0,100.0,2.4
2.289551,0.032925,58.0,5.187,12,0.0,0,100.0,2.4
2.38916,0.035347,58.0,5.198,11,0.0,0,100.0,2.4
2.504028,0.038718,58.0,5.198,10,0.0,0,100.0,2.4
2.679504,0.043055,58.0,5.198,9,0.0,0,100.0,2.4
2.991394,0.048197,58.0,5.198,8,0.0,0,100.0,2.4
3.382996,0.054957,58.0,5.198,7,0.0,0,100.0,2.4
3.84729,0.064277,58.0,6.126,6,0.0,0,100.0,2.4
4.558289,0.076725,58.0,5.187,5,0.0,0,100.0,2.4
5.417786,0.095825,58.0,5.187,4,0.0,0,100.0,2.4
7.506592,0.127754,58.0,6.126,3,0.0,0,100.0,2.4
10.431519,0.191708,58.0,6.126,2,0.0,0,100.0,2.4
20.169556,0.382729,58.0,5.187,1,0.0,0,100.0,2.4
1.73822,0.024805,58.0,5.198,16,0.0,0,100.0,2.4
1.836609,0.026257,58.0,6.134,15,0.0,0,100.0,2.4
2.012634,0.028323,58.0,6.134,14,0.0,0,100.0,2.4
2.083313,0.030133,58.0,6.134,13,0.0,0,100.0,2.4
2.209412,0.032568,58.0,6.134,12,0.0,0,100.0,2.4
2.373169,0.035765,58.0,5.187,11,0.0,0,100.0,2.4
2.48053,0.038721,58.0,5.198,10,0.0,0,100.0,2.4
2.733154,0.042906,58.0,6.134,9,0.0,0,100.0,2.4
3.012207,0.048719,58.0,6.126,8,0.0,0,100.0,2.4
3.410645,0.055413,58.0,5.198,7,0.0,0,100.0,2.4
3.811646,0.064547,58.0,5.198,6,0.0,0,100.0,2.4
4.503723,0.076837,58.0,5.187,5,0.0,0,100.0,2.4
5.363953,0.095839,58.0,5.187,4,0.0,0,100.0,2.4
7.11615,0.127613,58.0,5.187,3,0.0,0,100.0,2.4
10.26593,0.191618,58.0,5.187,2,0.0,0,100.0,2.4
20.038635,0.382585,58.0,6.126,1,0.0,0,100.0,2.4
1.806335,0.024716,58.0,6.134,16,0.0,0,100.0,2.4
1.833679,0.026255,58.0,5.198,15,0.0,0,100.0,2.4
1.92218,0.028271,58.0,6.134,14,0.0,0,100.0,2.4
2.049805,0.030058,58.0,6.134,13,0.0,0,100.0,2.4
2.180786,0.032986,58.0,6.134,12,0.0,0,100.0,2.4
2.322876,0.035465,58.0,6.134,11,0.0,0,100.0,2.4
2.513306,0.038813,58.0,5.187,10,0.0,0,100.0,2.4
2.734741,0.043092,58.0,5.198,9,0.0,0,100.0,2.4
2.957275,0.048415,58.0,6.134,8,0.0,0,100.0,2.4
