Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.593521,0.057381,56.00,7.788,8,0.00,0,100.0,2.3
2.731934,0.065323,56.00,7.788,7,0.00,0,100.0,2.4
2.872849,0.076096,55.00,7.788,6,0.00,0,100.0,2.4
3.239243,0.091204,54.00,7.829,5,0.00,0,100.0,2.4
3.698700,0.113928,54.00,7.788,4,0.00,0,100.0,2.4
4.537720,0.151813,54.00,7.829,3,0.00,0,100.0,2.4
5.571121,0.204950,54.00,7.788,2,0.00,0,100.0,2.4
9.433670,0.385564,54.00,7.829,1,0.00,0,100.0,2.4
2.465820,0.057258,54.00,7.788,8,0.00,0,100.0,2.4
2.678925,0.065239,55.00,7.829,7,0.00,0,100.0,2.4
2.854568,0.076013,54.00,7.829,6,0.00,0,100.0,2.4
3.295105,0.091229,54.00,7.829,5,0.00,0,100.0,2.4
3.734802,0.113950,54.00,7.788,4,0.00,0,100.0,2.4
4.628128,0.151908,53.00,7.788,3,0.00,0,100.0,2.4
6.284500,0.227687,54.00,7.788,2,0.00,0,100.0,2.4
8.980515,0.368652,54.00,7.788,1,0.00,0,100.0,2.4
2.514282,0.057200,54.00,7.788,8,0.00,0,100.0,2.4
2.751205,0.065307,54.00,7.829,7,0.00,0,100.0,2.4
2.895157,0.076053,54.00,7.870,6,0.00,0,100.0,2.4
3.281006,0.091204,54.00,7.829,5,0.00,0,100.0,2.4
3.731644,0.114017,54.00,7.788,4,0.00,0,100.0,2.4
4.521225,0.151852,54.00,7.829,3,0.00,0,100.0,2.4
5.644104,0.204950,53.00,7.829,2,0.00,0,100.0,2.4
11.108017,0.455277,54.00,7.788,1,0.00,0,100.0,2.4
2.632217,0.057305,54.00,7.788,8,0.00,0,100.0,2.4
2.713486,0.065342,54.00,7.870,7,0.00,0,100.0,2.4
2.976730,0.076191,54.00,7.788,6,0.00,0,100.0,2.4
3.331451,0.091228,54.00,7.788,5,0.00,0,100.0,2.4
3.761978,0.113935,53.00,7.829,4,0.00,0,100.0,2.4
4.585526,0.151875,53.00,7.788,3,0.00,0,100.0,2.4
5.601685,0.204964,54.00,7.829,2,0.00,0,100.0,2.4
11.089111,0.455285,55.00,7.829,1,0.00,0,100.0,2.4
2.628891,0.057445,53.00,7.788,8,0.00,0,100.0,2.4
2.738251,0.065435,53.00,7.829,7,0.00,0,100.0,2.4
2.888107,0.076168,54.00,7.788,6,0.00,0,100.0,2.4
3.327408,0.091248,54.00,7.788,5,0.00,0,100.0,2.4
3.774139,0.113942,54.00,7.788,4,0.00,0,100.0,2.4
4.549469,0.151855,54.00,7.788,3,0.00,0,100.0,2.4
6.143478,0.227666,53.00,7.788,2,0.00,0,100.0,2.4
11.168457,0.455444,54.00,7.788,1,0.00,0,100.0,2.4
2.622040,0.057242,54.00,7.870,8,0.00,0,100.0,2.4
2.736450,0.065363,54.00,7.788,7,0.00,0,100.0,2.4
2.914047,0.076141,54.00,7.788,6,0.00,0,100.0,2.4
3.365402,0.091269,55.00,7.870,5,0.00,0,100.0,2.4
3.771896,0.113985,53.00,7.788,4,0.00,0,100.0,2.4
4.651779,0.151890,53.00,7.829,3,0.00,0,100.0,2.4
7.344086,0.228240,53.00,7.788,2,0.00,0,100.0,2.4
10.536942,0.364310,53.00,7.952,1,0.00,0,100.0,2.4
2.530823,0.057136,53.00,7.788,8,0.00,0,100.0,2.4
2.682861,0.065386,53.00,7.829,7,0.00,0,100.0,2.4
2.952576,0.076094,54.00,7.829,6,0.00,0,100.0,2.4
3.270630,0.091267,53.00,7.829,5,0.00,0,100.0,2.4
3.774887,0.114024,54.00,7.747,4,0.00,0,100.0,2.4
4.640381,0.151869,53.00,7.829,3,0.00,0,100.0,2.4
5.622467,0.204952,53.00,7.829,2,0.00,0,100.0,2.4
11.105484,0.455300,54.00,7.829,1,0.00,0,100.0,2.4
2.548889,0.057289,53.00,7.788,8,0.00,0,100.0,2.4
2.695587,0.065366,53.00,7.829,7,0.00,0,100.0,2.4
3.006958,0.076119,54.00,7.829,6,0.00,0,100.0,2.4
3.319077,0.091252,53.00,7.829,5,0.00,0,100.0,2.4
3.847778,0.113950,53.00,7.829,4,0.00,0,100.0,2.4
4.621613,0.151865,53.00,7.829,3,0.00,0,100.0,2.4
6.239716,0.227753,54.00,7.829,2,0.00,0,100.0,2.4
8.891739,0.364223,53.00,7.870,1,0.00,0,100.0,2.4
2.595398,0.057272,53.00,7.788,8,0.00,0,100.0,2.4
2.680573,0.065375,53.00,7.829,7,0.00,0,100.0,2.4
2.886658,0.076086,54.00,7.829,6,0.00,0,100.0,2.4
3.206345,0.091180,54.00,7.788,5,0.00,0,100.0,2.4
3.774246,0.114018,54.00,7.788,4,0.00,0,100.0,2.4
4.637360,0.151903,53.00,7.829,3,0.00,0,100.0,2.4
5.653839,0.204948,53.00,7.829,2,0.00,0,100.0,2.4
8.883560,0.364242,53.00,7.829,1,0.00,0,100.0,2.4
2.535446,0.057257,53.00,7.829,8,0.00,0,100.0,2.4
2.719482,0.065328,54.00,7.788,7,0.00,0,100.0,2.4
3.023178,0.076215,53.00,7.829,6,0.00,0,100.0,2.4
3.291199,0.091264,53.00,7.829,5,0.00,0,100.0,2.4
3.723892,0.113980,53.00,7.829,4,0.00,0,100.0,2.4
4.619797,0.151859,53.00,7.788,3,0.00,0,100.0,2.4
6.219727,0.227681,53.00,7.829,2,0.00,0,100.0,2.4
11.094681,0.455280,53.00,7.829,1,0.00,0,100.0,2.4
2.568985,0.057460,54.00,7.829,8,0.00,0,100.0,2.4
2.725784,0.065337,53.00,7.829,7,0.00,0,100.0,2.4
2.914581,0.076084,54.00,7.788,6,0.00,0,100.0,2.4
3.325302,0.091250,54.00,7.747,5,0.00,0,100.0,2.4
3.713028,0.113949,53.00,7.829,4,0.00,0,100.0,2.4
4.596161,0.151885,54.00,7.788,3,0.00,0,100.0,2.4
6.225281,0.227677,53.00,7.829,2,0.00,0,100.0,2.4
11.085281,0.455274,54.00,7.829,1,0.00,0,100.0,2.4
2.587387,0.057493,54.00,7.870,8,0.00,0,100.0,2.4
2.718491,0.065341,54.00,7.829,7,0.00,0,100.0,2.4
2.998062,0.076171,53.00,7.788,6,0.00,0,100.0,2.4
3.352310,0.091298,53.00,7.747,5,0.00,0,100.0,2.4
3.682816,0.113957,54.00,7.829,4,0.00,0,100.0,2.4
4.586426,0.151872,53.00,7.747,3,0.00,0,100.0,2.4
5.617233,0.204966,54.00,7.788,2,0.00,0,100.0,2.4
11.099228,0.455302,54.00,7.829,1,0.00,0,100.0,2.4
2.532028,0.057141,54.00,7.829,8,0.00,0,100.0,2.4
2.781357,0.065377,53.00,7.829,7,0.00,0,100.0,2.4
2.958206,0.076107,53.00,7.829,6,0.00,0,100.0,2.4
3.332596,0.091271,52.00,7.829,5,0.00,0,100.0,2.4
3.787415,0.113995,53.00,7.829,4,0.00,0,100.0,2.4
4.530930,0.151890,53.00,7.788,3,0.00,0,100.0,2.4
5.695541,0.209015,54.00,7.788,2,0.00,0,100.0,2.4
11.097015,0.455271,54.00,7.747,1,0.00,0,100.0,2.4
2.613419,0.057467,54.00,7.747,8,0.00,0,100.0,2.4
2.718185,0.065317,53.00,7.788,7,0.00,0,100.0,2.4
2.942108,0.076141,53.00,7.788,6,0.00,0,100.0,2.4
3.343964,0.091362,53.00,7.747,5,0.00,0,100.0,2.4
3.782455,0.114004,53.00,7.788,4,0.00,0,100.0,2.4
4.579880,0.151874,53.00,7.747,3,0.00,0,100.0,2.4
6.185471,0.227697,53.00,7.706,2,0.00,0,100.0,2.4
8.862274,0.364233,53.00,7.829,1,0.00,0,100.0,2.4
2.527100,0.057446,53.00,7.788,8,0.00,0,100.0,2.4
2.718689,0.065342,53.00,7.829,7,0.00,0,100.0,2.4
2.949890,0.076175,53.00,7.829,6,0.00,0,100.0,2.4
3.283295,0.091256,54.00,7.747,5,0.00,0,100.0,2.4
3.763733,0.114046,53.00,7.829,4,0.00,0,100.0,2.4
4.627701,0.151856,54.00,7.747,3,0.00,0,100.0,2.4
6.284271,0.227685,53.00,7.870,2,0.00,0,100.0,2.4
11.087143,0.455265,53.00,7.829,1,0.00,0,100.0,2.4
2.478241,0.057435,53.00,7.829,8,0.00,0,100.0,2.4
2.711594,0.065353,54.00,7.829,7,0.00,0,100.0,2.4
2.928757,0.076088,54.00,7.829,6,0.00,0,100.0,2.4
3.324371,0.091261,53.00,7.829,5,0.00,0,100.0,2.4
3.729507,0.113945,53.00,7.829,4,0.00,0,100.0,2.4
4.611481,0.151872,53.00,7.747,3,0.00,0,100.0,2.4
6.158417,0.227682,53.00,7.829,2,0.00,0,100.0,2.4
11.093643,0.455287,53.00,7.870,1,0.00,0,100.0,2.4
2.476349,0.057215,53.00,7.829,8,0.00,0,100.0,2.4
2.755280,0.065344,53.00,7.788,7,0.00,0,100.0,2.4
2.973450,0.076119,53.00,7.829,6,0.00,0,100.0,2.4
3.247635,0.091263,53.00,7.870,5,0.00,0,100.0,2.4
3.777618,0.113990,53.00,7.747,4,0.00,0,100.0,2.4
4.514496,0.151839,53.00,7.747,3,0.00,0,100.0,2.4
6.259491,0.227768,53.00,7.829,2,0.00,0,100.0,2.4
9.247894,0.378882,53.00,7.747,1,0.00,0,100.0,2.4
2.520813,0.057255,53.00,7.829,8,0.00,0,100.0,2.4
2.731674,0.065360,53.00,7.747,7,0.00,0,100.0,2.4
2.947769,0.076104,54.00,7.829,6,0.00,0,100.0,2.4
