Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
3.643585,0.125738,52.00,7.624,4,0.00,0,100.0,2.2
4.365250,0.167020,52.00,7.624,3,0.00,0,100.0,2.3
6.155945,0.250434,51.00,7.624,2,0.00,0,100.0,2.3
11.313019,0.500597,50.00,7.665,1,0.00,0,100.0,2.3
3.665787,0.125337,51.00,7.624,4,0.00,0,100.0,2.3
4.345764,0.166987,50.00,7.665,3,0.00,0,100.0,2.3
6.292099,0.250382,51.00,7.706,2,0.00,0,100.0,2.3
9.044373,0.400450,50.00,7.665,1,0.00,0,100.0,2.3
3.617722,0.125315,50.00,7.665,4,0.00,0,100.0,2.3
4.398804,0.166950,51.00,7.624,3,0.00,0,100.0,2.3
6.180191,0.250354,50.00,7.624,2,0.00,0,100.0,2.3
11.329407,0.500499,51.00,7.624,1,0.00,0,100.0,2.3
3.613617,0.125286,50.00,7.624,4,0.00,0,100.0,2.3
3.566650,0.133915,50.00,7.665,3,0.00,0,100.0,2.3
6.305466,0.250401,49.00,7.665,2,0.00,0,100.0,2.3
9.071228,0.400441,50.00,7.665,1,0.00,0,100.0,2.3
3.747849,0.125298,50.00,7.665,4,0.00,0,100.0,2.3
4.467163,0.167362,51.00,7.665,3,0.00,0,100.0,2.3
6.174408,0.250387,50.00,7.665,2,0.00,0,100.0,2.3
11.298080,0.500589,51.00,7.665,1,0.00,0,100.0,2.3
3.670975,0.125314,50.00,7.665,4,0.00,0,100.0,2.3
4.345016,0.166954,50.00,7.665,3,0.00,0,100.0,2.3
6.185349,0.250381,50.00,7.665,2,0.00,0,100.0,2.3
11.427185,0.500589,51.00,7.665,1,0.00,0,100.0,2.3
3.648636,0.125342,50.00,7.665,4,0.00,0,100.0,2.3
4.346863,0.167016,50.00,7.665,3,0.00,0,100.0,2.3
5.055176,0.200308,51.00,7.665,2,0.00,0,100.0,2.3
9.020767,0.400461,50.00,7.747,1,0.00,0,100.0,2.3
3.623322,0.125555,50.00,7.665,4,0.00,0,100.0,2.3
4.345749,0.166984,50.00,7.665,3,0.00,0,100.0,2.3
5.039566,0.200343,51.00,7.665,2,0.00,0,100.0,2.3
9.028793,0.400507,50.00,7.665,1,0.00,0,100.0,2.3
3.651184,0.125357,50.00,7.665,4,0.00,0,100.0,2.3
4.323349,0.166973,50.00,7.665,3,0.00,0,100.0,2.3
5.062668,0.200327,51.00,7.665,2,0.00,0,100.0,2.3
11.277954,0.500573,50.00,7.665,1,0.00,0,100.0,2.3
3.821640,0.125377,50.00,7.706,4,0.00,0,100.0,2.3
4.312119,0.167393,50.00,7.665,3,0.00,0,100.0,2.3
6.299255,0.250350,52.00,7.665,2,0.00,0,100.0,2.3
12.233643,0.501334,50.00,7.706,1,0.00,0,100.0,2.3
3.875305,0.125742,50.00,7.829,4,0.00,0,100.0,2.3
4.627502,0.167065,51.00,7.665,3,0.00,0,100.0,2.3
6.030090,0.250417,50.00,7.624,2,0.00,0,100.0,2.3
10.767258,0.500627,50.00,7.624,1,0.00,0,100.0,2.3
3.770157,0.125379,50.00,7.624,4,0.00,0,100.0,2.3
4.360764,0.167000,49.00,7.665,3,0.00,0,100.0,2.3
5.933487,0.250366,51.00,7.624,2,0.00,0,100.0,2.3
9.699295,0.450894,50.00,7.665,1,0.00,0,100.0,2.3
3.613007,0.125366,50.00,7.624,4,0.00,0,100.0,2.3
4.390579,0.167010,50.00,7.624,3,0.00,0,100.0,2.3
6.047974,0.250363,50.00,7.624,2,0.00,0,100.0,2.3
10.776154,0.500547,49.00,7.665,1,0.00,0,100.0,2.3
3.662598,0.125305,50.00,7.624,4,0.00,0,100.0,2.3
4.457062,0.167025,50.00,7.624,3,0.00,0,100.0,2.3
5.384399,0.225366,50.00,7.624,2,0.00,0,100.0,2.3
10.764374,0.500591,50.00,7.624,1,0.00,0,100.0,2.3
3.688782,0.125274,50.00,7.624,4,0.00,0,100.0,2.3
4.323990,0.166955,50.00,7.624,3,0.00,0,100.0,2.3
6.051697,0.250419,50.00,7.624,2,0.00,0,100.0,2.3
8.634277,0.400469,49.00,7.624,1,0.00,0,100.0,2.3
3.688309,0.125297,50.00,7.624,4,0.00,0,100.0,2.3
4.405487,0.166985,50.00,7.624,3,0.00,0,100.0,2.3
5.929459,0.250430,50.00,7.665,2,0.00,0,100.0,2.3
8.630585,0.400463,50.00,7.624,1,0.00,0,100.0,2.3
3.593445,0.125291,50.00,7.624,4,0.00,0,100.0,2.3
4.385971,0.166950,51.00,7.624,3,0.00,0,100.0,2.3
6.046906,0.250432,50.00,7.665,2,0.00,0,100.0,2.3
10.763214,0.500544,49.00,7.624,1,0.00,0,100.0,2.3
3.624374,0.125293,49.00,7.624,4,0.00,0,100.0,2.3
4.316437,0.166997,50.00,7.624,3,0.00,0,100.0,2.3
6.052856,0.250342,50.00,7.624,2,0.00,0,100.0,2.3
8.633011,0.400488,50.00,7.624,1,0.00,0,100.0,2.3
3.614136,0.125370,50.00,7.624,4,0.00,0,100.0,2.3
4.481720,0.166944,50.00,7.624,3,0.00,0,100.0,2.3
5.043213,0.210021,50.00,7.624,2,0.00,0,100.0,2.3
8.631607,0.400459,50.00,7.624,1,0.00,0,100.0,2.3
3.676498,0.125287,50.00,7.624,4,0.00,0,100.0,2.3
4.477310,0.166963,50.00,7.624,3,0.00,0,100.0,2.3
5.927765,0.250383,49.00,7.624,2,0.00,0,100.0,2.3
10.758606,0.500536,50.00,7.624,1,0.00,0,100.0,2.3
3.680008,0.125278,49.00,7.624,4,0.00,0,100.0,2.3
4.401184,0.166974,48.00,7.624,3,0.00,0,100.0,2.3
5.929474,0.250376,50.00,7.624,2,0.00,0,100.0,2.3
10.799988,0.500555,49.00,7.624,1,0.00,0,100.0,2.3
3.658463,0.125318,50.00,7.624,4,0.00,0,100.0,2.3
4.478256,0.166996,50.00,7.624,3,0.00,0,100.0,2.3
5.932495,0.250391,50.00,7.624,2,0.00,0,100.0,2.3
10.758484,0.500547,51.00,7.624,1,0.00,0,100.0,2.3
3.677567,0.125293,50.00,7.624,4,0.00,0,100.0,2.3
4.480499,0.166979,49.00,7.788,3,0.00,0,100.0,2.3
6.055283,0.250371,49.00,7.624,2,0.00,0,100.0,2.3
8.613846,0.400460,49.00,7.624,1,0.00,0,100.0,2.3
3.680344,0.125337,49.00,7.624,4,0.00,0,100.0,2.3
4.402847,0.166973,48.00,7.624,3,0.00,0,100.0,2.3
5.949570,0.250372,50.00,7.665,2,0.00,0,100.0,2.3
10.792999,0.500556,51.00,7.624,1,0.00,0,100.0,2.3
3.651840,0.125300,50.00,7.624,4,0.00,0,100.0,2.3
4.393509,0.166991,50.00,7.624,3,0.00,0,100.0,2.3
6.360703,0.250564,49.00,7.665,2,0.00,0,100.0,2.3
11.311325,0.500672,50.00,7.829,1,0.00,0,100.0,2.3
3.609695,0.125335,49.00,7.624,4,0.00,0,100.0,2.3
4.396683,0.166963,49.00,7.665,3,0.00,0,100.0,2.3
5.922607,0.250344,49.00,7.624,2,0.00,0,100.0,2.3
10.794708,0.500543,51.00,7.624,1,0.00,0,100.0,2.3
3.670059,0.125301,49.00,7.624,4,0.00,0,100.0,2.3
4.437210,0.166993,49.00,7.624,3,0.00,0,100.0,2.3
5.389542,0.225325,49.00,7.624,2,0.00,0,100.0,2.3
10.760666,0.500523,50.00,7.624,1,0.00,0,100.0,2.3
3.611145,0.125365,49.00,7.665,4,0.00,0,100.0,2.3
4.306549,0.167020,49.00,7.665,3,0.00,0,100.0,2.3
6.043900,0.250336,50.00,7.624,2,0.00,0,100.0,2.3
8.616180,0.400455,49.00,7.624,1,0.00,0,100.0,2.3
3.675705,0.125348,50.00,7.624,4,0.00,0,100.0,2.3
4.311203,0.166955,49.00,7.624,3,0.00,0,100.0,2.3
6.045914,0.250362,50.00,7.624,2,0.00,0,100.0,2.3
10.802536,0.500558,48.00,7.665,1,0.00,0,100.0,2.3
3.602142,0.125368,48.00,7.624,4,0.00,0,100.0,2.3
4.308487,0.166967,49.00,7.624,3,0.00,0,100.0,2.3
6.013794,0.250352,50.00,7.665,2,0.00,0,100.0,2.3
10.767792,0.500540,48.00,7.624,1,0.00,0,100.0,2.3
3.643585,0.125738,52.00,7.624,4,0.00,0,100.0,2.2
4.365250,0.167020,52.00,7.624,3,0.00,0,100.0,2.3
6.155945,0.250434,51.00,7.624,2,0.00,0,100.0,2.3
11.313019,0.500597,50.00,7.665,1,0.00,0,100.0,2.3
3.665787,0.125337,51.00,7.624,4,0.00,0,100.0,2.3
4.345764,0.166987,50.00,7.665,3,0.00,0,100.0,2.3
6.292099,0.250382,51.00,7.706,2,0.00,0,100.0,2.3
9.044373,0.400450,50.00,7.665,1,0.00,0,100.0,2.3
3.617722,0.125315,50.00,7.665,4,0.00,0,100.0,2.3
4.398804,0.166950,51.00,7.624,3,0.00,0,100.0,2.3
6.180191,0.250354,50.00,7.624,2,0.00,0,100.0,2.3
11.329407,0.500499,51.00,7.624,1,0.00,0,100.0,2.3
3.613617,0.125286,50.00,7.624,4,0.00,0,100.0,2.3
3.566650,0.133915,50.00,7.665,3,0.00,0,100.0,2.3
6.305466,0.250401,49.00,7.665,2,0.00,0,100.0,2.3
9.071228,0.400441,50.00,7.665,1,0.00,0,100.0,2.3
