Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.570023,0.083994,52.00,7.583,6,0.00,0,100.0,2.2
3.151047,0.100635,51.00,7.624,5,0.00,0,100.0,2.4
3.534180,0.125741,51.00,7.665,4,0.00,0,100.0,2.4
4.774368,0.167445,51.00,7.624,3,0.00,0,100.0,2.4
5.109482,0.201104,50.00,7.665,2,0.00,0,100.0,2.4
10.134125,0.401122,50.00,7.665,1,0.00,0,100.0,2.4
2.588989,0.083955,50.00,7.624,6,0.00,0,100.0,2.4
3.121231,0.100509,50.00,7.624,5,0.00,0,100.0,2.4
3.536148,0.125749,50.00,7.665,4,0.00,0,100.0,2.4
3.820694,0.134099,50.00,7.624,3,0.00,0,100.0,2.4
5.123199,0.201190,50.00,7.624,2,0.00,0,100.0,2.4
12.698227,0.501452,49.00,7.624,1,0.00,0,100.0,2.4
2.545303,0.084000,50.00,7.624,6,0.00,0,100.0,2.4
3.117142,0.100582,51.00,7.624,5,0.00,0,100.0,2.4
3.581284,0.125705,51.00,7.624,4,0.00,0,100.0,2.4
4.801437,0.167636,50.00,7.624,3,0.00,0,100.0,2.4
6.353195,0.251263,49.00,7.624,2,0.00,0,100.0,2.4
10.228394,0.401495,50.00,7.624,1,0.00,0,100.0,2.4
2.599503,0.083983,49.00,7.665,6,0.00,0,100.0,2.4
3.177780,0.100687,50.00,7.624,5,0.00,0,100.0,2.4
3.610657,0.125693,49.00,7.624,4,0.00,0,100.0,2.4
4.481216,0.167319,49.00,7.624,3,0.00,0,100.0,2.4
5.767151,0.225899,51.00,6.640,2,0.00,0,100.0,2.4
12.708755,0.501331,50.00,7.624,1,0.00,0,100.0,2.4
2.550674,0.083849,50.00,7.624,6,0.00,0,100.0,2.4
3.120941,0.100913,50.00,7.624,5,0.00,0,100.0,2.4
3.610382,0.125720,49.00,7.624,4,0.00,0,100.0,2.4
3.837524,0.134065,49.00,7.624,3,0.00,0,100.0,2.4
