Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
2.564774,0.076505,47.00,7.952,6,0.00,0,100.0,3.8
2.950165,0.091419,48.00,7.952,5,0.00,0,100.0,3.9
3.065918,0.102801,47.00,7.993,4,0.00,0,100.0,3.9
4.104645,0.137150,48.00,8.075,3,0.00,0,100.0,3.9
6.068893,0.228331,49.00,7.993,2,0.00,0,100.0,3.9
9.633408,0.364711,48.00,7.993,1,0.00,0,100.0,3.9
2.510925,0.076337,50.00,7.993,6,0.00,0,100.0,3.9
2.927917,0.091614,49.00,7.993,5,0.00,0,100.0,3.9
3.359024,0.114144,49.00,7.993,4,0.00,0,100.0,3.9
4.484665,0.152303,49.00,7.993,3,0.00,0,100.0,3.9
6.066635,0.228299,47.00,8.157,2,0.00,0,100.0,3.9
12.031754,0.455766,49.00,7.993,1,0.00,0,100.0,3.9
2.533997,0.076294,50.00,7.993,6,0.00,0,100.0,3.9
3.037033,0.091489,49.00,7.993,5,0.00,0,100.0,3.9
3.470169,0.114342,48.00,7.993,4,0.00,0,100.0,3.9
4.462662,0.152310,49.00,7.993,3,0.00,0,100.0,3.9
4.877823,0.182596,48.00,8.034,2,0.00,0,100.0,3.9
9.655731,0.364588,49.00,7.993,1,0.00,0,100.0,3.9
2.524597,0.076276,48.00,8.116,6,0.00,0,100.0,3.9
2.959274,0.091530,48.00,7.993,5,0.00,0,100.0,3.9
3.386200,0.114250,48.00,7.952,4,0.00,0,100.0,3.9
4.448837,0.152248,49.00,7.952,3,0.00,0,100.0,3.9
6.085938,0.228233,49.00,7.952,2,0.00,0,100.0,3.9
9.646896,0.365026,48.00,7.952,1,0.00,0,100.0,3.9
2.492477,0.076280,49.00,7.952,6,0.00,0,100.0,3.9
2.914505,0.091377,48.00,7.952,5,0.00,0,100.0,3.9
3.374481,0.114352,49.00,7.952,4,0.00,0,100.0,3.9
4.539810,0.152313,49.00,7.952,3,0.00,0,100.0,3.9
4.833084,0.182631,50.00,7.952,2,0.00,0,100.0,3.9
9.649292,0.364756,49.00,7.993,1,0.00,0,100.0,3.9
2.413513,0.076296,49.00,7.952,6,0.00,0,100.0,3.9
2.934723,0.091451,49.00,7.993,5,0.00,0,100.0,3.9
3.375748,0.114209,48.00,7.952,4,0.00,0,100.0,3.9
4.503571,0.152231,48.00,7.952,3,0.00,0,100.0,3.9
5.717728,0.228225,48.00,7.952,2,0.00,0,100.0,3.9
12.041443,0.455901,47.00,7.952,1,0.00,0,100.0,3.9
2.483139,0.076381,49.00,7.952,6,0.00,0,100.0,3.9
2.939423,0.091416,49.00,7.952,5,0.00,0,100.0,3.9
3.340103,0.114257,48.00,7.952,4,0.00,0,100.0,3.9
4.474533,0.152285,49.00,7.952,3,0.00,0,100.0,3.9
6.011093,0.228065,48.00,7.911,2,0.00,0,100.0,3.9
12.098373,0.457392,49.00,7.993,1,0.00,0,100.0,3.9
2.976593,0.076943,49.00,7.952,6,0.00,0,100.0,3.9
3.029037,0.091410,50.00,7.993,5,0.00,0,100.0,3.9
3.406006,0.114344,49.00,8.116,4,0.00,0,100.0,3.9
4.056458,0.137042,49.00,7.993,3,0.00,0,100.0,3.9
4.835098,0.182628,48.00,7.952,2,0.00,0,100.0,3.9
10.864685,0.410638,48.00,7.993,1,0.00,0,100.0,3.9
2.429352,0.076311,48.00,7.993,6,0.00,0,100.0,3.9
3.009842,0.091492,48.00,7.993,5,0.00,0,100.0,3.9
3.428940,0.114183,48.00,7.952,4,0.00,0,100.0,3.9
4.618103,0.152382,49.00,7.993,3,0.00,0,100.0,3.9
6.062195,0.228275,50.00,8.116,2,0.00,0,100.0,3.9
9.645752,0.365040,48.00,7.993,1,0.00,0,100.0,3.9
2.416702,0.076433,49.00,7.993,6,0.00,0,100.0,3.9
2.899750,0.091469,47.00,7.993,5,0.00,0,100.0,3.9
3.459808,0.114184,48.00,7.993,4,0.00,0,100.0,3.9
4.059494,0.137052,49.00,8.075,3,0.00,0,100.0,3.9
6.050995,0.228268,47.00,8.075,2,0.00,0,100.0,3.9
12.045547,0.455831,48.00,7.993,1,0.00,0,100.0,3.9
2.439835,0.076294,49.00,7.993,6,0.00,0,100.0,3.9
2.902603,0.091426,48.00,7.993,5,0.00,0,100.0,3.9
