Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
1.493256,0.017896,65.50,-1.000,16,0.00,0,100.0,0.8
1.639114,0.018859,65.50,-1.000,15,0.00,0,100.0,2.3
1.628860,0.020030,65.50,-1.000,14,0.00,0,100.0,2.3
1.697830,0.021466,65.50,-1.000,13,0.00,0,100.0,2.3
1.752350,0.022880,65.50,-1.000,12,0.00,0,100.0,2.3
1.979401,0.024908,65.50,-1.000,11,0.00,0,100.0,2.3
2.093338,0.027084,65.50,-1.000,10,0.00,0,100.0,2.3
2.314133,0.029891,65.50,-1.000,9,0.00,0,100.0,2.3
2.419418,0.033297,65.50,-1.000,8,0.00,0,100.0,2.3
2.774109,0.037776,65.50,-1.000,7,0.00,0,100.0,2.3
3.143005,0.043930,65.50,-1.000,6,0.00,0,100.0,2.3
3.711884,0.052425,65.50,-1.000,5,0.00,0,100.0,2.3
4.543594,0.065335,65.50,-1.000,4,0.00,0,100.0,2.3
6.067093,0.087102,65.50,-1.000,3,0.00,0,100.0,2.3
8.869034,0.130238,65.50,-1.000,2,0.00,0,100.0,2.3
17.718048,0.260375,65.50,-1.000,1,0.00,0,100.0,2.3
1.415421,0.017674,65.50,-1.000,16,0.00,0,100.0,2.3
1.573746,0.018681,65.50,-1.000,15,0.00,0,100.0,2.3
1.622253,0.019878,65.50,-1.000,14,0.00,0,100.0,2.3
1.702286,0.021176,65.50,-1.000,13,0.00,0,100.0,2.3
1.750641,0.022768,65.50,-1.000,12,0.00,0,100.0,2.3
1.899384,0.024675,65.62,-1.000,11,0.00,0,100.0,2.3
2.090881,0.026951,65.62,-1.000,10,0.00,0,100.0,2.3
2.240036,0.029707,65.62,-1.000,9,0.00,0,100.0,2.3
2.489212,0.033275,65.62,-1.000,8,0.00,0,100.0,2.3
2.774078,0.037773,65.62,-1.000,7,0.00,0,100.0,2.3
3.150635,0.043924,65.62,-1.000,6,0.00,0,100.0,2.3
3.713089,0.052456,65.62,-1.000,5,0.00,0,100.0,2.3
4.550583,0.065430,65.62,-1.000,4,0.00,0,100.0,2.3
6.075607,0.086927,65.62,-1.000,3,0.00,0,100.0,2.3
8.874207,0.130487,65.62,-1.000,2,0.00,0,100.0,2.3
17.719421,0.260379,65.62,-1.000,1,0.00,0,100.0,2.3
1.494431,0.017649,65.62,-1.000,16,0.00,0,100.0,2.3
1.572632,0.018608,65.62,-1.000,15,0.00,0,100.0,2.3
1.627945,0.019905,65.62,-1.000,14,0.00,0,100.0,2.3
1.703613,0.021219,65.62,-1.000,13,0.00,0,100.0,2.3
1.752350,0.022792,65.62,-1.000,12,0.00,0,100.0,2.3
1.900345,0.024678,65.62,-1.000,11,0.00,0,100.0,2.3
2.018784,0.026987,65.62,-1.000,10,0.00,0,100.0,2.3
2.237259,0.029719,65.62,-1.000,9,0.00,0,100.0,2.3
2.484360,0.033274,65.62,-1.000,8,0.00,0,100.0,2.3
2.774078,0.037780,65.62,-1.000,7,0.00,0,100.0,2.3
3.150665,0.043920,65.62,-1.000,6,0.00,0,100.0,2.3
3.783463,0.052428,65.62,-1.000,5,0.00,0,100.0,2.3
4.546906,0.065335,65.62,-1.000,4,0.00,0,100.0,2.3
6.077087,0.087097,65.62,-1.000,3,0.00,0,100.0,2.3
8.941635,0.130245,65.62,-1.000,2,0.00,0,100.0,2.3
17.749527,0.260599,65.62,-1.000,1,0.00,0,100.0,2.3
1.494873,0.017632,65.75,-1.000,16,0.00,0,100.0,2.3
1.497620,0.018663,65.75,-1.000,15,0.00,0,100.0,2.3
1.623184,0.019853,65.75,-1.000,14,0.00,0,100.0,2.3
1.705002,0.021183,65.75,-1.000,13,0.00,0,100.0,2.3
1.754272,0.022762,65.75,-1.000,12,0.00,0,100.0,2.3
1.905685,0.024642,65.75,-1.000,11,0.00,0,100.0,2.3
2.094742,0.026972,65.75,-1.000,10,0.00,0,100.0,2.3
2.245041,0.029698,65.75,-1.000,9,0.00,0,100.0,2.3
2.490906,0.033257,65.75,-1.000,8,0.00,0,100.0,2.3
2.778290,0.037789,65.75,-1.000,7,0.00,0,100.0,2.3
3.156769,0.043935,65.75,-1.000,6,0.00,0,100.0,2.3
3.710434,0.052457,65.75,-1.000,5,0.00,0,100.0,2.3
4.546539,0.065332,65.75,-1.000,4,0.00,0,100.0,2.3
6.100983,0.086917,65.75,-1.000,3,0.00,0,100.0,2.3
8.994461,0.130425,65.75,-1.000,2,0.00,0,100.0,2.3
17.771622,0.260377,65.75,-1.000,1,0.00,0,100.0,2.3
1.495148,0.017654,65.75,-1.000,16,0.00,0,100.0,2.3
1.499084,0.018698,65.75,-1.000,15,0.00,0,100.0,2.3
