Energy,Time,Temperature,Voltage,N_core,Seq_frac,Barrier,CPU_Util,Memory_MB
0.808960,0.006275,45.75,-1.000,32,0.00,0,100.0,0.8
0.857727,0.006407,45.75,-1.000,31,0.00,0,100.0,2.4
0.840622,0.006614,45.75,-1.000,30,0.00,0,100.0,2.4
0.841690,0.006766,45.75,-1.000,29,0.00,0,100.0,2.4
0.946793,0.006968,45.75,-1.000,28,0.00,0,100.0,2.4
0.813858,0.007076,45.75,-1.000,27,0.00,0,100.0,2.4
0.807465,0.007254,45.75,-1.000,26,0.00,0,100.0,2.4
0.922424,0.007538,45.75,-1.000,25,0.00,0,100.0,2.4
0.903397,0.007819,45.75,-1.000,24,0.00,0,100.0,2.4
1.015869,0.008090,45.75,-1.000,23,0.00,0,100.0,2.4
1.001144,0.008400,45.75,-1.000,22,0.00,0,100.0,2.4
0.992188,0.008748,45.75,-1.000,21,0.00,0,100.0,2.4
1.094986,0.009135,45.75,-1.000,20,0.00,0,100.0,2.4
0.971100,0.009558,45.75,-1.000,19,0.00,0,100.0,2.4
1.067200,0.010012,45.75,-1.000,18,0.00,0,100.0,2.4
1.158432,0.010554,45.75,-1.000,17,0.00,0,100.0,2.4
1.140976,0.011154,45.75,-1.000,16,0.00,0,100.0,2.4
1.226501,0.011842,45.75,-1.000,15,0.00,0,100.0,2.4
1.203888,0.012652,45.88,-1.000,14,0.00,0,100.0,2.4
1.284164,0.013516,45.88,-1.000,13,0.00,0,100.0,2.4
1.454803,0.014578,45.88,-1.000,12,0.00,0,100.0,2.4
1.516937,0.016026,45.88,-1.000,11,0.00,0,100.0,2.4
1.607788,0.017362,45.88,-1.000,10,0.00,0,100.0,2.4
1.762207,0.019262,45.88,-1.000,9,0.00,0,100.0,2.4
1.891663,0.021573,45.88,-1.000,8,0.00,0,100.0,2.4
2.206619,0.024604,45.88,-1.000,7,0.00,0,100.0,2.4
2.494873,0.028604,45.88,-1.000,6,0.00,0,100.0,2.4
2.830399,0.034069,46.00,-1.000,5,0.00,0,100.0,2.4
3.363327,0.042211,46.00,-1.000,4,0.00,0,100.0,2.4
4.344482,0.056107,46.00,-1.000,3,0.00,0,100.0,2.4
6.213486,0.082707,46.12,-1.000,2,0.00,0,100.0,2.4
11.824020,0.164157,46.12,-1.000,1,0.00,0,100.0,2.4
0.776215,0.006114,46.12,-1.000,32,0.00,0,100.0,2.4
0.734406,0.006262,46.12,-1.000,31,0.00,0,100.0,2.4
0.861832,0.006404,46.12,-1.000,30,0.00,0,100.0,2.4
0.848083,0.006554,46.12,-1.000,29,0.00,0,100.0,2.4
0.859985,0.006761,46.12,-1.000,28,0.00,0,100.0,2.4
0.835236,0.006937,46.12,-1.000,27,0.00,0,100.0,2.4
0.834610,0.007162,46.12,-1.000,26,0.00,0,100.0,2.4
0.941513,0.007414,46.12,-1.000,25,0.00,0,100.0,2.4
0.937958,0.007888,46.12,-1.000,24,0.00,0,100.0,2.4
0.912384,0.007973,46.12,-1.000,23,0.00,0,100.0,2.4
0.897659,0.008352,46.12,-1.000,22,0.00,0,100.0,2.4
1.009491,0.008637,46.12,-1.000,21,0.00,0,100.0,2.4
0.989944,0.009055,46.12,-1.000,20,0.00,0,100.0,2.4
1.103683,0.009449,46.12,-1.000,19,0.00,0,100.0,2.4
1.180573,0.010250,46.12,-1.000,18,0.00,0,100.0,2.4
1.158676,0.010523,46.12,-1.000,17,0.00,0,100.0,2.4
1.139145,0.011167,46.25,-1.000,16,0.00,0,100.0,2.4
1.218170,0.011892,46.25,-1.000,15,0.00,0,100.0,2.4
1.299042,0.012687,46.25,-1.000,14,0.00,0,100.0,2.4
1.379166,0.013612,46.25,-1.000,13,0.00,0,100.0,2.4
1.459534,0.014535,46.25,-1.000,12,0.00,0,100.0,2.4
1.523331,0.015852,46.25,-1.000,11,0.00,0,100.0,2.4
1.682114,0.017358,46.25,-1.000,10,0.00,0,100.0,2.4
1.732269,0.019260,46.25,-1.000,9,0.00,0,100.0,2.4
1.959854,0.022037,46.25,-1.000,8,0.00,0,100.0,2.4
2.176254,0.024523,46.25,-1.000,7,0.00,0,100.0,2.4
2.465012,0.028486,46.38,-1.000,6,0.00,0,100.0,2.4
2.802948,0.034099,46.38,-1.000,5,0.00,0,100.0,2.4
3.479858,0.042599,46.38,-1.000,4,0.00,0,100.0,2.4
4.476822,0.056637,46.38,-1.000,3,0.00,0,100.0,2.4
6.276917,0.083490,46.50,-1.000,2,0.00,0,100.0,2.4
11.743378,0.164022,46.50,-1.000,1,0.00,0,100.0,2.4
0.778915,0.006148,46.50,-1.000,32,0.00,0,100.0,2.4
0.858246,0.006491,46.50,-1.000,31,0.00,0,100.0,2.4
0.848145,0.006591,46.50,-1.000,30,0.00,0,100.0,2.4
0.824936,0.006757,46.50,-1.000,29,0.00,0,100.0,2.4
0.834915,0.006999,46.50,-1.000,28,0.00,0,100.0,2.4
0.831543,0.007140,46.50,-1.000,27,0.00,0,100.0,2.4
0.930908,0.007735,46.50,-1.000,26,0.00,0,100.0,2.4
0.935776,0.007476,46.50,-1.000,25,0.00,0,100.0,2.4
0.919586,0.007715,46.50,-1.000,24,0.00,0,100.0,2.4
1.025787,0.008104,46.50,-1.000,23,0.00,0,100.0,2.4
1.012787,0.008313,46.50,-1.000,22,0.00,0,100.0,2.4
1.014160,0.008603,46.50,-1.000,21,0.00,0,100.0,2.4
0.991302,0.009055,46.50,-1.000,20,0.00,0,100.0,2.4
0.988983,0.009587,46.50,-1.000,19,0.00,0,100.0,2.4
1.090561,0.009936,46.50,-1.000,18,0.00,0,100.0,2.4
1.172623,0.010530,46.50,-1.000,17,0.00,0,100.0,2.4
1.154663,0.011165,46.50,-1.000,16,0.00,0,100.0,2.4
1.128006,0.011902,46.50,-1.000,15,0.00,0,100.0,2.4
1.308670,0.012696,46.50,-1.000,14,0.00,0,100.0,2.4
1.393677,0.013600,46.50,-1.000,13,0.00,0,100.0,2.4
1.466797,0.014690,46.62,-1.000,12,0.00,0,100.0,2.4
1.556808,0.015844,46.62,-1.000,11,0.00,0,100.0,2.4
1.699478,0.017445,46.62,-1.000,10,0.00,0,100.0,2.4
1.739838,0.019266,46.62,-1.000,9,0.00,0,100.0,2.4
1.969040,0.021563,46.62,-1.000,8,0.00,0,100.0,2.4
2.182037,0.024552,46.62,-1.000,7,0.00,0,100.0,2.4
2.456772,0.028496,46.62,-1.000,6,0.00,0,100.0,2.4
2.804382,0.034043,46.62,-1.000,5,0.00,0,100.0,2.4
3.358429,0.042339,46.75,-1.000,4,0.00,0,100.0,2.4
4.339417,0.056024,46.75,-1.000,3,0.00,0,100.0,2.4
6.203232,0.082462,46.75,-1.000,2,0.00,0,100.0,2.4
11.960739,0.164253,46.75,-1.000,1,0.00,0,100.0,2.4
0.739853,0.006193,46.75,-1.000,32,0.00,0,100.0,2.4
0.849106,0.006372,46.75,-1.000,31,0.00,0,100.0,2.4
0.733597,0.006513,46.75,-1.000,30,0.00,0,100.0,2.4
0.846329,0.006654,46.75,-1.000,29,0.00,0,100.0,2.4
0.825058,0.006838,46.75,-1.000,28,0.00,0,100.0,2.4
0.827362,0.007023,46.75,-1.000,27,0.00,0,100.0,2.4
0.933182,0.007240,46.75,-1.000,26,0.00,0,100.0,2.4
0.923248,0.007502,46.75,-1.000,25,0.00,0,100.0,2.4
0.922852,0.007812,46.75,-1.000,24,0.00,0,100.0,2.4
0.903397,0.008026,46.75,-1.000,23,0.00,0,100.0,2.4
0.898407,0.008320,46.75,-1.000,22,0.00,0,100.0,2.4
1.004959,0.008840,46.75,-1.000,21,0.00,0,100.0,2.4
0.977264,0.009089,46.75,-1.000,20,0.00,0,100.0,2.4
1.089371,0.009469,46.75,-1.000,19,0.00,0,100.0,2.4
1.178619,0.010008,46.75,-1.000,18,0.00,0,100.0,2.4
1.157455,0.010532,46.75,-1.000,17,0.00,0,100.0,2.4
1.129089,0.011208,46.75,-1.000,16,0.00,0,100.0,2.4
1.219147,0.011895,46.75,-1.000,15,0.00,0,100.0,2.4
1.296356,0.012693,46.75,-1.000,14,0.00,0,100.0,2.4
1.375397,0.013588,46.75,-1.000,13,0.00,0,100.0,2.4
1.453674,0.014578,46.88,-1.000,12,0.00,0,100.0,2.4
1.514542,0.015953,46.88,-1.000,11,0.00,0,100.0,2.4
1.584763,0.017384,46.88,-1.000,10,0.00,0,100.0,2.4
